CID,CNm,LID_Lane,LAT,LAD,VID
C109,TRK-66-EV,,0.0,0.0,
C110,R-00142412,,0.0,0.0,
C111,TRK-50-KR,,0.0,0.0,
C112,R-00142719,,0.0,0.0,
C113,TRK-60-FD,,0.0,0.0,
C114,R-00143404,,0.0,0.0,
C115,TRK-52-OD,,0.0,0.0,
C116,TRK-35-NK,,0.0,0.0,
C117,R-00144512,,0.0,0.0,
C118,TRK-71-EU,,0.0,0.0,
C119,TRK-54-YE,,0.0,0.0,
C120,R-00145168,,0.0,0.0,
C121,TRK-34-KT,,0.0,0.0,
C122,R-00145219,,0.0,0.0,
C123,TRK-85-JV,,0.0,0.0,
C124,TRK-93-RV,,0.0,0.0,
C125,R-00120091,,0.0,0.0,
C126,R-00120621,,0.0,0.0,
C127,TRK-39-HL,,0.0,0.0,
C128,TRK-15-WH,,0.0,0.0,
C129,R-00122146,,0.0,0.0,
C130,TRK-79-YR,,0.0,0.0,
C131,TRK-19-WE,,0.0,0.0,
C132,R-00122562,,0.0,0.0,
C133,TRK-0-YH,,0.0,0.0,
C134,R-00123723,,0.0,0.0,
C135,TRK-72-PA,,0.0,0.0,
C136,TRK-30-VV,,0.0,0.0,
C137,R-00124390,,0.0,0.0,
C138,TRK-46-GA,,0.0,0.0,
C139,TRK-12-EO,,0.0,0.0,
C140,R-00125152,,0.0,0.0,
C141,TRK-16-OD,,0.0,0.0,
C142,TRK-2-QK,,0.0,0.0,
C143,R-00125446,,0.0,0.0,
C144,TRK-13-WO,,0.0,0.0,
C145,TRK-34-CB,,0.0,0.0,
C146,TRK-69-LC,,0.0,0.0,
C147,R-00126131,,0.0,0.0,
C148,TRK-5-FP,,0.0,0.0,
C149,TRK-37-GU,,0.0,0.0,
C150,TRK-83-HE,,0.0,0.0,
C151,TRK-2-GN,,0.0,0.0,
C152,R-00128153,,0.0,0.0,
C153,TRK-47-ZO,,0.0,0.0,
C154,R-00128154,,0.0,0.0,
C155,TRK-48-AP,,0.0,0.0,
C156,TRK-37-AA,,0.0,0.0,
C157,TRK-29-OW,,0.0,0.0,
C158,TRK-62-HC,,0.0,0.0,
C159,TRK-19-WP,,0.0,0.0,
C160,R-00131019,,0.0,0.0,
C161,TRK-42-FV,,0.0,0.0,
C162,R-00131227,,0.0,0.0,
C163,TRK-20-KN,,0.0,0.0,
C164,TRK-86-TT,,0.0,0.0,
C165,TRK-57-BE,,0.0,0.0,
C166,TRK-62-GE,,0.0,0.0,
C167,R-00132381,,0.0,0.0,
C168,TRK-18-PV,,0.0,0.0,
C169,R-00132731,,0.0,0.0,
C170,TRK-71-BJ,,0.0,0.0,
C171,R-00133371,,0.0,0.0,
C172,TRK-18-RH,,0.0,0.0,
C173,TRK-89-AS,,0.0,0.0,
C174,TRK-81-NV,,0.0,0.0,
C175,TRK-31-LQ,,0.0,0.0,
C176,R-00134493,,0.0,0.0,
C177,TRK-51-VY,,0.0,0.0,
C178,R-00134807,,0.0,0.0,
C179,TRK-68-XK,,0.0,0.0,
C180,R-00145720,,0.0,0.0,
C181,TRK-91-QO,,0.0,0.0,
C182,TRK-3-BP,,0.0,0.0,
C183,TRK-92-XD,,0.0,0.0,
C184,R-00146635,,0.0,0.0,
C185,R-00146900,,0.0,0.0,
C186,TRK-83-AI,,0.0,0.0,
C187,TRK-26-LN,,0.0,0.0,
C188,TRK-38-FO,,0.0,0.0,
C189,TRK-20-DV,,0.0,0.0,
C190,TRK-24-IO,,0.0,0.0,
C191,TRK-76-ZQ,,0.0,0.0,
C192,R-00147137,,0.0,0.0,
C193,TRK-23-DR,,0.0,0.0,
C194,TRK-58-HW,,0.0,0.0,
C195,R-00147450,,0.0,0.0,
C196,TRK-39-ED,,0.0,0.0,
C197,R-00147812,,0.0,0.0,
C198,TRK-5-CR,,0.0,0.0,
C199,TRK-10-IK,,0.0,0.0,
C200,TRK-20-EP,,0.0,0.0,
C201,R-00139237,,0.0,0.0,
C202,TRK-43-HZ,,0.0,0.0,
C203,TRK-11-MJ,,0.0,0.0,
C204,TRK-3-ZM,,0.0,0.0,
C205,R-00139712,,0.0,0.0,
C206,TRK-23-OR,,0.0,0.0,
C207,TRK-43-EP,,0.0,0.0,
C208,R-00140489,,0.0,0.0,
C209,TRK-8-LV,,0.0,0.0,
C210,R-00150105,,0.0,0.0,
C211,TRK-21-HB,,0.0,0.0,
C212,TRK-72-MS,,0.0,0.0,
C213,TRK-40-YK,,0.0,0.0,
C214,TRK-31-AW,,0.0,0.0,
C215,R-00152284,,0.0,0.0,
C216,TRK-22-CH,,0.0,0.0,
C217,TRK-92-UJ,,0.0,0.0,
C218,R-00152355,,0.0,0.0,
C219,TRK-93-VJ,,0.0,0.0,
C220,TRK-57-BQ,,0.0,0.0,
C221,R-00140769,,0.0,0.0,
C222,TRK-90-FG,,0.0,0.0,
C223,TRK-47-ZP,,0.0,0.0,
C224,TRK-98-TV,,0.0,0.0,
C225,TRK-5-AP,,0.0,0.0,
C226,R-00142286,,0.0,0.0,
C227,TRK-23-OM,,0.0,0.0,
C228,TRK-87-VS,,0.0,0.0,
C229,R-00142800,,0.0,0.0,
C230,TRK-42-IG,,0.0,0.0,
C231,TRK-66-GH,,0.0,0.0,
C232,TRK-85-VE,,0.0,0.0,
C233,R-00144126,,0.0,0.0,
C234,TRK-81-IF,,0.0,0.0,
C235,R-00144302,,0.0,0.0,
C236,R-00144601,,0.0,0.0,
C237,TRK-61-PX,,0.0,0.0,
C238,R-00144624,,0.0,0.0,
C239,TRK-84-MY,,0.0,0.0,
C240,TRK-95-IK,,0.0,0.0,
C241,TRK-17-YO,,0.0,0.0,
C242,TRK-49-HV,,0.0,0.0,
C243,TRK-18-IJ,,0.0,0.0,
C244,R-00146937,,0.0,0.0,
C245,TRK-21-LJ,,0.0,0.0,
C246,R-00147214,,0.0,0.0,
C247,TRK-1-CU,,0.0,0.0,
C248,R-00147339,,0.0,0.0,
C249,TRK-27-XY,,0.0,0.0,
C250,R-00147567,,0.0,0.0,
C251,TRK-57-RH,,0.0,0.0,
C252,R-00147889,,0.0,0.0,
C253,TRK-82-BU,,0.0,0.0,
C254,R-00147963,,0.0,0.0,
C255,TRK-57-XW,,0.0,0.0,
C256,R-00148160,,0.0,0.0,
C257,TRK-56-ME,,0.0,0.0,
C258,TRK-28-KG,,0.0,0.0,
C259,R-00148458,,0.0,0.0,
C260,TRK-57-YP,,0.0,0.0,
C261,R-00148891,,0.0,0.0,
C262,TRK-94-PG,,0.0,0.0,
C263,R-00149424,,0.0,0.0,
C264,TRK-33-CB,,0.0,0.0,
C265,TRK-75-ZK,,0.0,0.0,
C266,TRK-7-FF,,0.0,0.0,
C267,R-00151135,,0.0,0.0,
C268,TRK-61-XO,,0.0,0.0,
C269,TRK-39-WR,,0.0,0.0,
C270,TRK-50-TW,,0.0,0.0,
C271,TRK-91-TJ,,0.0,0.0,
C272,TRK-46-WE,,0.0,0.0,
C273,R-00153235,,0.0,0.0,
C274,TRK-82-RR,,0.0,0.0,
C275,R-00153242,,0.0,0.0,
C276,TRK-4-OR,,0.0,0.0,
C277,R-00121159,,0.0,0.0,
C278,TRK-82-ZF,,0.0,0.0,
C279,TRK-63-WM,,0.0,0.0,
C280,R-00121342,,0.0,0.0,
C281,TRK-67-AN,,0.0,0.0,
C282,R-00121343,,0.0,0.0,
C283,TRK-14-PS,,0.0,0.0,
C284,TRK-79-NG,,0.0,0.0,
C285,TRK-73-HY,,0.0,0.0,
C286,R-00153772,,0.0,0.0,
C287,TRK-25-IM,,0.0,0.0,
C288,TRK-42-FC,,0.0,0.0,
C289,R-00154333,,0.0,0.0,
C290,TRK-91-XH,,0.0,0.0,
C291,TRK-77-ZO,,0.0,0.0,
C292,TRK-5-VT,,0.0,0.0,
C293,TRK-86-JI,,0.0,0.0,
C294,TRK-55-HR,,0.0,0.0,
C295,TRK-82-DW,,0.0,0.0,
C296,TRK-88-ZD,,0.0,0.0,
C297,R-00154525,,0.0,0.0,
C298,TRK-85-HP,,0.0,0.0,
C299,TRK-39-YY,,0.0,0.0,
C300,TRK-47-SD,,0.0,0.0,
C301,TRK-9-WJ,,0.0,0.0,
C302,R-00155739,,0.0,0.0,
C303,R-00155822,,0.0,0.0,
C304,TRK-95-EN,,0.0,0.0,
C305,TRK-57-NP,,0.0,0.0,
C306,R-00156481,,0.0,0.0,
C307,TRK-61-NM,,0.0,0.0,
C308,R-00156609,,0.0,0.0,
C309,TRK-90-LR,,0.0,0.0,
C310,TRK-26-BB,,0.0,0.0,
C311,R-00157557,,0.0,0.0,
C312,TRK-48-XB,,0.0,0.0,
C313,TRK-52-YR,,0.0,0.0,
C314,TRK-42-QD,,0.0,0.0,
C315,TRK-39-DL,,0.0,0.0,
C316,TRK-84-XF,,0.0,0.0,
C317,TRK-33-KF,,0.0,0.0,
C318,TRK-87-CP,,0.0,0.0,
C319,TRK-39-WU,,0.0,0.0,
C320,R-00123188,,0.0,0.0,
C321,TRK-32-AG,,0.0,0.0,
C322,R-00123579,,0.0,0.0,
C323,TRK-27-BV,,0.0,0.0,
C324,R-00123662,,0.0,0.0,
C325,TRK-11-GY,,0.0,0.0,
C326,TRK-75-NE,,0.0,0.0,
C327,R-00123838,,0.0,0.0,
C328,TRK-88-AF,,0.0,0.0,
C329,TRK-41-AH,,0.0,0.0,
C330,TRK-28-IK,,0.0,0.0,
C331,TRK-31-LK,,0.0,0.0,
C332,TRK-81-JM,,0.0,0.0,
C333,TRK-96-EC,,0.0,0.0,
C334,TRK-48-EF,,0.0,0.0,
C335,TRK-86-HH,,0.0,0.0,
C336,R-00161792,,0.0,0.0,
C337,TRK-26-UI,,0.0,0.0,
C338,R-00162050,,0.0,0.0,
C339,TRK-86-SS,,0.0,0.0,
C340,TRK-90-MA,,0.0,0.0,
C341,TRK-2-NI,,0.0,0.0,
C342,R-00162523,,0.0,0.0,
C343,TRK-62-RH,,0.0,0.0,
C344,R-00124618,,0.0,0.0,
C345,TRK-76-AJ,,0.0,0.0,
C346,TRK-40-RA,,0.0,0.0,
C347,R-00125549,,0.0,0.0,
C348,R-00125683,,0.0,0.0,
C349,TRK-52-ZX,,0.0,0.0,
C350,R-00126062,,0.0,0.0,
C351,TRK-35-OM,,0.0,0.0,
C352,TRK-84-GS,,0.0,0.0,
C353,R-00126818,,0.0,0.0,
C354,R-00126923,,0.0,0.0,
C355,TRK-5-RT,,0.0,0.0,
C356,R-00127107,,0.0,0.0,
C357,TRK-90-TA,,0.0,0.0,
C358,TRK-9-BJ,,0.0,0.0,
C359,TRK-78-XP,,0.0,0.0,
C360,R-00163765,,0.0,0.0,
C361,TRK-19-RG,,0.0,0.0,
C362,TRK-55-BI,,0.0,0.0,
C363,R-00163878,,0.0,0.0,
C364,TRK-33-AL,,0.0,0.0,
C365,R-00163982,,0.0,0.0,
C366,TRK-38-AP,,0.0,0.0,
C367,R-00164244,,0.0,0.0,
C368,TRK-3-CZ,,0.0,0.0,
C369,TRK-30-AQ,,0.0,0.0,
C370,TRK-42-CS,,0.0,0.0,
C371,R-00155415,,0.0,0.0,
C372,TRK-84-NX,,0.0,0.0,
C373,TRK-42-SZ,,0.0,0.0,
C374,R-00155580,,0.0,0.0,
C375,TRK-51-WD,,0.0,0.0,
C376,R-00155752,,0.0,0.0,
C377,TRK-25-MK,,0.0,0.0,
C378,TRK-32-TK,,0.0,0.0,
C379,R-00155993,,0.0,0.0,
C380,TRK-68-TT,,0.0,0.0,
C381,TRK-42-OW,,0.0,0.0,
C382,R-00165991,,0.0,0.0,
C383,R-00166963,,0.0,0.0,
C384,TRK-49-RZ,,0.0,0.0,
C385,R-00167764,,0.0,0.0,
C386,TRK-58-ME,,0.0,0.0,
C387,TRK-45-FT,,0.0,0.0,
C388,TRK-92-QW,,0.0,0.0,
C389,TRK-83-SH,,0.0,0.0,
C390,TRK-85-PT,,0.0,0.0,
C391,TRK-47-TZ,,0.0,0.0,
C392,TRK-49-VZ,,0.0,0.0,
C393,R-00128264,,0.0,0.0,
C394,TRK-59-GT,,0.0,0.0,
C395,R-00128475,,0.0,0.0,
C396,TRK-72-JB,,0.0,0.0,
C397,R-00128810,,0.0,0.0,
C398,TRK-11-GO,,0.0,0.0,
C399,TRK-25-KW,,0.0,0.0,
C400,R-00129028,,0.0,0.0,
C401,TRK-31-QW,,0.0,0.0,
C402,TRK-80-DG,,0.0,0.0,
C403,R-00159889,,0.0,0.0,
C404,TRK-4-PN,,0.0,0.0,
C405,R-00159967,,0.0,0.0,
C406,TRK-82-PQ,,0.0,0.0,
C407,TRK-72-BN,,0.0,0.0,
C408,TRK-31-CT,,0.0,0.0,
C409,TRK-28-KE,,0.0,0.0,
C410,TRK-22-UL,,0.0,0.0,
C411,R-00161775,,0.0,0.0,
C412,TRK-9-DI,,0.0,0.0,
C413,R-00162062,,0.0,0.0,
C414,TRK-98-ET,,0.0,0.0,
C415,TRK-80-CA,,0.0,0.0,
C416,TRK-81-YD,,0.0,0.0,
C417,R-00162353,,0.0,0.0,
C418,TRK-92-JE,,0.0,0.0,
C419,TRK-81-AQ,,0.0,0.0,
C420,R-00163698,,0.0,0.0,
C421,TRK-51-CE,,0.0,0.0,
C422,TRK-12-RO,,0.0,0.0,
C423,TRK-56-JQ,,0.0,0.0,
C424,TRK-7-DP,,0.0,0.0,
C425,R-00165480,,0.0,0.0,
C426,TRK-51-QU,,0.0,0.0,
C427,TRK-90-AM,,0.0,0.0,
C428,R-00166753,,0.0,0.0,
C429,TRK-37-PR,,0.0,0.0,
C430,TRK-41-TR,,0.0,0.0,
C431,R-00167362,,0.0,0.0,
C432,TRK-52-AP,,0.0,0.0,
C433,R-00167908,,0.0,0.0,
C434,TRK-45-PL,,0.0,0.0,
C435,TRK-51-VL,,0.0,0.0,
C436,TRK-3-SW,,0.0,0.0,
C437,TRK-21-LQ,,0.0,0.0,
C438,R-00170160,,0.0,0.0,
C439,TRK-78-QS,,0.0,0.0,
C440,TRK-44-PZ,,0.0,0.0,
C441,R-00171191,,0.0,0.0,
C442,TRK-20-HG,,0.0,0.0,
C443,TRK-59-PL,,0.0,0.0,
C444,TRK-41-NS,,0.0,0.0,
C445,TRK-31-YV,,0.0,0.0,
C446,TRK-58-UA,,0.0,0.0,
C447,TRK-72-JU,,0.0,0.0,
C448,R-00173693,,0.0,0.0,
C449,TRK-54-PC,,0.0,0.0,
C450,R-00174272,,0.0,0.0,
C451,TRK-61-DL,,0.0,0.0,
C452,R-00174804,,0.0,0.0,
C453,TRK-69-GP,,0.0,0.0,
C454,TRK-73-XM,,0.0,0.0,
C455,R-00176123,,0.0,0.0,
C456,TRK-2-ZN,,0.0,0.0,
C457,TRK-38-QX,,0.0,0.0,
C458,R-00178000,,0.0,0.0,
C459,TRK-97-EI,,0.0,0.0,
C460,R-00178221,,0.0,0.0,
C461,TRK-21-RQ,,0.0,0.0,
C462,TRK-86-MO,,0.0,0.0,
C463,TRK-58-FR,,0.0,0.0,
C464,R-00169811,,0.0,0.0,
C465,TRK-73-BA,,0.0,0.0,
C466,TRK-35-VN,,0.0,0.0,
C467,TRK-51-WZ,,0.0,0.0,
C468,R-00178784,,0.0,0.0,
C469,TRK-89-IM,,0.0,0.0,
C470,R-00179321,,0.0,0.0,
C471,TRK-22-AS,,0.0,0.0,
C472,TRK-20-OZ,,0.0,0.0,
C473,TRK-94-FG,,0.0,0.0,
C474,TRK-26-FL,,0.0,0.0,
C475,TRK-45-YL,,0.0,0.0,
C476,R-00180308,,0.0,0.0,
C477,TRK-29-YS,,0.0,0.0,
C478,TRK-88-AZ,,0.0,0.0,
C479,TRK-90-US,,0.0,0.0,
C480,TRK-44-MV,,0.0,0.0,
C481,TRK-74-ZP,,0.0,0.0,
C482,TRK-70-XB,,0.0,0.0,
C483,TRK-79-GC,,0.0,0.0,
C484,TRK-11-WO,,0.0,0.0,
C485,TRK-96-TZ,,0.0,0.0,
C486,TRK-10-NO,,0.0,0.0,
C487,R-00184554,,0.0,0.0,
C488,TRK-18-GA,,0.0,0.0,
C489,TRK-39-RI,,0.0,0.0,
C490,R-00185135,,0.0,0.0,
C491,TRK-5-PW,,0.0,0.0,
C492,TRK-83-KD,,0.0,0.0,
C493,R-00185619,,0.0,0.0,
C494,TRK-93-FP,,0.0,0.0,
C495,R-00185728,,0.0,0.0,
C496,TRK-66-KD,,0.0,0.0,
C497,R-00186031,,0.0,0.0,
C498,TRK-52-HO,,0.0,0.0,
C499,TRK-71-HX,,0.0,0.0,
C500,R-00187183,,0.0,0.0,
C501,TRK-73-JX,,0.0,0.0,
C502,R-00187248,,0.0,0.0,
C503,TRK-39-WZ,,0.0,0.0,
C504,TRK-78-JB,,0.0,0.0,
C505,R-00187450,,0.0,0.0,
C506,TRK-43-QH,,0.0,0.0,
C507,TRK-69-WX,,0.0,0.0,
C508,R-00188484,,0.0,0.0,
C509,TRK-87-KV,,0.0,0.0,
C510,TRK-35-VE,,0.0,0.0,
C511,TRK-17-YH,,0.0,0.0,
C512,R-00189158,,0.0,0.0,
C513,R-00189620,,0.0,0.0,
C514,TRK-35-CN,,0.0,0.0,
C515,R-00190052,,0.0,0.0,
C516,TRK-71-SD,,0.0,0.0,
C517,R-00190192,,0.0,0.0,
C518,TRK-13-CJ,,0.0,0.0,
C519,R-00190341,,0.0,0.0,
C520,R-00190477,,0.0,0.0,
C521,TRK-1-BU,,0.0,0.0,
C522,R-00190693,,0.0,0.0,
C523,TRK-19-JC,,0.0,0.0,
C524,TRK-81-ZT,,0.0,0.0,
C525,R-00191289,,0.0,0.0,
C526,TRK-38-JL,,0.0,0.0,
C527,R-00192083,,0.0,0.0,
C528,TRK-23-VD,,0.0,0.0,
C529,TRK-59-FF,,0.0,0.0,
C530,TRK-37-ZL,,0.0,0.0,
C531,TRK-12-VO,,0.0,0.0,
C532,TRK-84-FZ,,0.0,0.0,
C533,TRK-56-AO,,0.0,0.0,
C534,R-00193806,,0.0,0.0,
C535,TRK-63-SZ,,0.0,0.0,
C536,R-00194419,,0.0,0.0,
C537,TRK-58-UH,,0.0,0.0,
C538,TRK-41-YK,,0.0,0.0,
C539,R-00195724,,0.0,0.0,
C540,TRK-1-WN,,0.0,0.0,
C541,TRK-22-MS,,0.0,0.0,
C542,TRK-68-BY,,0.0,0.0,
C543,TRK-17-NH,,0.0,0.0,
C544,R-00196459,,0.0,0.0,
C545,TRK-84-TK,,0.0,0.0,
C546,TRK-73-UO,,0.0,0.0,
C547,R-00197869,,0.0,0.0,
C548,TRK-67-JS,,0.0,0.0,
C549,TRK-12-CN,,0.0,0.0,
C550,TRK-33-PH,,0.0,0.0,
C551,TRK-52-KU,,0.0,0.0,
C552,TRK-28-XE,,0.0,0.0,
C553,TRK-29-ZX,,0.0,0.0,
C554,TRK-79-IL,,0.0,0.0,
C555,TRK-13-KQ,,0.0,0.0,
C556,R-00201953,,0.0,0.0,
C557,TRK-92-LT,,0.0,0.0,
C558,TRK-57-XV,,0.0,0.0,
C559,R-00202275,,0.0,0.0,
C560,TRK-18-VF,,0.0,0.0,
C561,R-00202317,,0.0,0.0,
C562,TRK-60-LH,,0.0,0.0,
C563,TRK-35-CO,,0.0,0.0,
C564,R-00173851,,0.0,0.0,
C565,TRK-7-PE,,0.0,0.0,
C566,TRK-20-NQ,,0.0,0.0,
C567,R-00174281,,0.0,0.0,
C568,TRK-41-DV,,0.0,0.0,
C569,TRK-86-CM,,0.0,0.0,
C570,R-00174806,,0.0,0.0,
C571,TRK-71-IP,,0.0,0.0,
C572,TRK-92-DQ,,0.0,0.0,
C573,TRK-11-OP,,0.0,0.0,
C574,R-00131643,,0.0,0.0,
C575,TRK-72-FT,,0.0,0.0,
C576,R-00131661,,0.0,0.0,
C577,TRK-90-XT,,0.0,0.0,
C578,TRK-93-AU,,0.0,0.0,
C579,R-00132317,,0.0,0.0,
C580,TRK-53-DT,,0.0,0.0,
C581,R-00132431,,0.0,0.0,
C582,TRK-68-NX,,0.0,0.0,
C583,R-00132605,,0.0,0.0,
C584,TRK-44-FE,,0.0,0.0,
C585,R-00175908,,0.0,0.0,
C586,TRK-84-SF,,0.0,0.0,
C587,R-00175964,,0.0,0.0,
C588,TRK-41-WH,,0.0,0.0,
C589,TRK-6-YR,,0.0,0.0,
C590,TRK-83-YN,,0.0,0.0,
C591,TRK-71-NG,,0.0,0.0,
C592,R-00177352,,0.0,0.0,
C593,TRK-43-GJ,,0.0,0.0,
C594,TRK-22-BQ,,0.0,0.0,
C595,TRK-34-NQ,,0.0,0.0,
C596,TRK-85-KB,,0.0,0.0,
C597,R-00180306,,0.0,0.0,
C598,TRK-27-WS,,0.0,0.0,
C599,TRK-34-QG,,0.0,0.0,
C600,TRK-38-KO,,0.0,0.0,
C601,R-00120381,,0.0,0.0,
C602,TRK-9-YS,,0.0,0.0,
C603,TRK-49-XF,,0.0,0.0,
C604,R-00120779,,0.0,0.0,
C605,TRK-98-JR,,0.0,0.0,
C606,TRK-19-US,,0.0,0.0,
C607,TRK-9-QH,,0.0,0.0,
C608,TRK-37-IQ,,0.0,0.0,
C609,R-00122176,,0.0,0.0,
C610,TRK-10-CT,,0.0,0.0,
C611,TRK-41-YU,,0.0,0.0,
C612,TRK-77-JP,,0.0,0.0,
C613,TRK-74-RA,,0.0,0.0,
C614,TRK-25-FK,,0.0,0.0,
C615,TRK-29-QS,,0.0,0.0,
C616,R-00125012,,0.0,0.0,
C617,TRK-74-EY,,0.0,0.0,
C618,R-00125331,,0.0,0.0,
C619,TRK-96-LK,,0.0,0.0,
C620,TRK-56-SM,,0.0,0.0,
C621,TRK-65-XJ,,0.0,0.0,
C622,TRK-27-XM,,0.0,0.0,
C623,TRK-33-DN,,0.0,0.0,
C624,TRK-73-RO,,0.0,0.0,
C625,TRK-87-FP,,0.0,0.0,
C626,TRK-43-SI,,0.0,0.0,
C627,R-00180854,,0.0,0.0,
C628,TRK-80-YN,,0.0,0.0,
C629,R-00181064,,0.0,0.0,
C630,TRK-92-AW,,0.0,0.0,
C631,TRK-56-CZ,,0.0,0.0,
C632,TRK-16-QJ,,0.0,0.0,
C633,TRK-24-GR,,0.0,0.0,
C634,R-00127760,,0.0,0.0,
C635,TRK-50-WZ,,0.0,0.0,
C636,R-00127801,,0.0,0.0,
C637,TRK-91-LB,,0.0,0.0,
C638,R-00128401,,0.0,0.0,
C639,TRK-97-NY,,0.0,0.0,
C640,TRK-62-UE,,0.0,0.0,
C641,R-00128569,,0.0,0.0,
C642,TRK-67-ZE,,0.0,0.0,
C643,R-00128685,,0.0,0.0,
C644,TRK-84-LJ,,0.0,0.0,
C645,TRK-19-OO,,0.0,0.0,
C646,TRK-30-VL,,0.0,0.0,
C647,TRK-76-RZ,,0.0,0.0,
C648,R-00130474,,0.0,0.0,
C649,TRK-91-GA,,0.0,0.0,
C650,TRK-98-IE,,0.0,0.0,
C651,TRK-59-HH,,0.0,0.0,
C652,TRK-92-UX,,0.0,0.0,
C653,TRK-4-AC,,0.0,0.0,
C654,R-00132760,,0.0,0.0,
C655,TRK-1-EK,,0.0,0.0,
C656,R-00132899,,0.0,0.0,
C657,TRK-41-NP,,0.0,0.0,
C658,TRK-74-QN,,0.0,0.0,
C659,TRK-45-IQ,,0.0,0.0,
C660,TRK-42-AU,,0.0,0.0,
