LID,POL,POD,AA_Time_Actual_Arrival,AA_Delay,COUNTRY
L0210,GBLHR,CAYEG,,0.0,CA
L0211,CAYVR,GBLHR,,0.0,GB
L0212,CNTAO,CASKI,,0.0,CA
L0213,INCCU,GBMAN,,0.0,GB
L0214,GBMAN,SEMMX,,0.0,SE
L0215,HKHKG,GBMAN,,0.0,GB
L0216,FRCDG,USCVG,,0.0,US
L0217,GBLHR,USJFK,,0.0,US
L0218,GBLHR,INDEL,,0.0,IN
L0219,GBLHR,INHYD,,0.0,IN
L0220,CAYYC,GBLGW,,0.0,GB
L0221,GBLHR,INBLR,,0.0,IN
L0222,GBLHR,INMAA,,0.0,IN
L0223,GBLHR,AEDWC,,0.0,AE
L0224,GBLHR,AESHJ,,0.0,AE
L0225,HKHKG,GBBHX,,0.0,GB
L0226,AUBNE,AUBNE,,0.0,AU
L0227,GBLGW,AEDXB,,0.0,AE
L0228,GBMAN,KWKWI,,0.0,KW
L0229,FJSUV,GBMAN,,0.0,GB
L0230,KPICN,GBLHR,,0.0,GB
L0231,GBLHR,SAJED,,0.0,SA
L0232,GBMAN,OMMCT,,0.0,OM
L0233,GBLHR,ILTLV,,0.0,IL
L0234,CNNGB,GBLHR,,0.0,GB
L0235,PELIM,GBLHR,,0.0,GB
L0236,GBLHR,USEWR,,0.0,US
L0237,FRCDG,SGSIN,,0.0,SG
L0238,ESBCN,GBLHR,,0.0,GB
L0239,GBLHR,USPFN,,0.0,US
L0240,GBLHR,SARUH,,0.0,SA
L0241,USPHL,GBLHR,,0.0,GB
L0242,GBLHR,FRCDG,,0.0,FR
L0243,GBLHR,ITMXP,,0.0,IT
L0244,GBLHR,INCCU,,0.0,IN
L0245,GBLHR,USIAH,,0.0,US
L0246,GBMAN,AUMEL,,0.0,AU
L0247,GBLHR,INCOK,,0.0,IN
L0248,COBOG,GBLHR,,0.0,GB
L0249,CNPVG,NLAMS,,0.0,NL
L0250,GBLHR,AEAUH,,0.0,AE
L0251,CAMTR,GBLHR,,0.0,GB
L0252,CNHFE,GBLHR,,0.0,GB
L0253,GBLHR,BHBAH,,0.0,BH
L0254,AESHJ,GBMAN,,0.0,GB
L0255,GBLHR,CNSZX,,0.0,CN
L0256,MUMRU,ATVIE,,0.0,AT
L0257,CNNKG,GBMAN,,0.0,GB
L0258,GBLHR,BSNAS,,0.0,BS
L0259,CASJB,GBLHR,,0.0,GB
L0260,NLAMS,JPNRT,,0.0,JP
L0261,GBBHX,AEDXB,,0.0,AE
L0262,GBLHR,CYECN,,0.0,CY
L0263,USBOS,GBLHR,,0.0,GB
L0264,GBLHR,SEMMX,,0.0,SE
L0265,GBLHR,USLAS,,0.0,US
L0266,FRCDG,CNPVG,,0.0,CN
L0267,GBLHR,NLAMS,,0.0,NL
L0268,AEDXB,GBLHR,,0.0,GB
L0269,GBLGW,AONBJ,,0.0,AO
L0270,SARUH,BDDAC,,0.0,BD
L0271,CAYEG,LRMLW,,0.0,LR
L0272,CNSGH,TMASB,,0.0,TM
L0273,ESBCN,GBBHX,,0.0,GB
L0274,USATL,USJFK,,0.0,US
L0275,USCHI,USEWR,,0.0,US
L0276,IDSUB,INHYD,,0.0,IN
L0277,TRIZM,NPKTM,,0.0,NP
L0278,SESTO,GETBS,,0.0,GE
L0279,FJSUV,TZDAR,,0.0,TZ
L0280,AEAUH,MVMLE,,0.0,MV
L0281,GBLHR,SADMM,,0.0,SA
L0282,CNCTU,TZMWZ,,0.0,TZ
L0283,BEBRU,ITLIN,,0.0,IT
L0284,NPKTM,KPICN,,0.0,KP
L0285,ETADD,DKCPH,,0.0,DK
L0286,FRCDG,KGFRU,,0.0,KG
L0287,PKSKT,CFBGF,,0.0,CF
L0288,TRISL,GBLHR,,0.0,GB
L0289,MRNKC,CAYQB,,0.0,CA
L0290,AUPER,CMDLA,,0.0,CM
L0291,MYKUL,JPNGO,,0.0,JP
L0292,PKSKT,CNTSN,,0.0,CN
L0293,GBEMA,CGPNR,,0.0,CG
L0294,USCHI,AMEVN,,0.0,AM
L0295,DEFRA,IQEBL,,0.0,IQ
L0296,JPHND,JPNRT,,0.0,JP
L0297,CNSHA,GBLHR,,0.0,GB
L0298,ECGYE,GBMAN,,0.0,GB
L0299,GBMAN,SARUH,,0.0,SA
L0300,GBLHR,CDBZV,,0.0,CD
L0301,INCOK,CNPKX,,0.0,CN
L0302,USATL,USCHI,,0.0,US
L0303,PKLHE,HTPAP,,0.0,HT
L0304,CAVAN,CFBGF,,0.0,CF
L0305,TRADB,DKCPH,,0.0,DK
L0306,AZGYD,CNBJS,,0.0,CN
L0307,SARUH,CMDLA,,0.0,CM
L0308,CNWUX,CFBGF,,0.0,CF
L0309,JPHND,VNSGN,,0.0,VN
L0310,AGSJO,AUSYD,,0.0,AU
L0311,CNEHU,AMEVN,,0.0,AM
L0312,PTOPO,TZMWZ,,0.0,TZ
L0313,GBGLA,CHZRH,,0.0,CH
L0314,USJFK,MGTNR,,0.0,MG
L0315,USSTL,MQFDF,,0.0,MQ
L0316,GYGEO,CNPVG,,0.0,CN
L0317,OMMCT,CNNGB,,0.0,CN
L0318,MXMEX,NPKTM,,0.0,NP
L0319,CNCGO,IDCGK,,0.0,ID
L0320,CNNKG,QADOH,,0.0,QA
L0321,CNSZX,OMSLL,,0.0,OM
L0322,PTOPO,GBGLW,,0.0,GB
L0323,CNSHA,CNXMN,,0.0,CN
L0324,ECUIO,USBNA,,0.0,US
L0325,PELIM,GALBV,,0.0,GA
L0326,ITMXP,DEFRA,,0.0,DE
L0327,BDDAC,TZMWZ,,0.0,TZ
L0328,PKSKT,CNXMN,,0.0,CN
L0329,MGTNR,GBLBA,,0.0,GB
L0330,CNCAN,CDFBM,,0.0,CD
L0331,CNCTU,BEBRU,,0.0,BE
L0332,LKCMB,MQFDF,,0.0,MQ
L0333,AZGYD,SADMM,,0.0,SA
L0334,FIHEL,KZALA,,0.0,KZ
L0335,SESTO,SCSEZ,,0.0,SC
L0336,CNWUH,MYPEN,,0.0,MY
L0337,CNQDG,MYPEN,,0.0,MY
L0338,CNNKG,AGANU,,0.0,AG
L0339,GBMAN,AEDWC,,0.0,AE
L0340,GBMAN,SADMM,,0.0,SA
L0341,KPICN,AUROB,,0.0,AU
L0342,MUPLU,AUADL,,0.0,AU
L0343,CNPEK,CNHGH,,0.0,CN
L0344,GBLHR,CNPKX,,0.0,CN
L0345,CNTXG,CNKMG,,0.0,CN
L0346,CUSCU,CNCTU,,0.0,CN
L0347,ILTAV,GBLHR,,0.0,GB
L0348,CNSZX,GALBV,,0.0,GA
L0349,TWKHH,AEDWC,,0.0,AE
L0350,THBKK,MYKUL,,0.0,MY
L0351,PTOPO,CYLCA,,0.0,CY
L0352,ILTAV,CAYUL,,0.0,CA
L0353,TRADB,MGTNR,,0.0,MG
L0354,ITLIN,RUVKO,,0.0,RU
L0355,ECUIO,MYKUL,,0.0,MY
L0356,ECGYQ,CUSCU,,0.0,CU
L0357,DEBRE,LTKLJ,,0.0,LT
L0358,ECGYE,TMASB,,0.0,TM
L0359,AUSYD,DZALG,,0.0,DZ
L0360,CAYYT,USJFK,,0.0,US
L0361,USCLT,USDTW,,0.0,US
L0362,CNXIY,CNMFM,,0.0,CN
L0363,CNFOC,SAJED,,0.0,SA
L0364,GBLGW,AEDWC,,0.0,AE
L0365,NZAKL,GBLHR,,0.0,GB
L0366,GRATH,SOMGQ,,0.0,SO
L0367,AGSJO,IEDUB,,0.0,IE
L0368,CNDLC,CUSCU,,0.0,CU
L0369,AEDXB,THBKK,,0.0,TH
L0370,USMIA,MZMPM,,0.0,MZ
L0371,PKISB,GBMAN,,0.0,GB
L0372,INDEL,JPHMD,,0.0,JP
L0373,USBOS,GETBS,,0.0,GE
L0374,GBBHX,GBDVR,,0.0,GB
L0375,IDCGK,BSNAS,,0.0,BS
L0376,CNTSN,SDKRT,,0.0,SD
L0377,MVMLE,CLSCL,,0.0,CL
L0378,GBLHR,GETBS,,0.0,GE
L0379,SARUH,KRICN,,0.0,KR
L0380,INAMD,CNKMG,,0.0,CN
L0381,USCVG,USCHI,,0.0,US
L0382,CNNKG,CNCAN,,0.0,CN
L0383,AEDWC,CDGOM,,0.0,CD
L0384,TWTPE,CUSCU,,0.0,CU
L0385,MUPLU,ITMXP,,0.0,IT
L0386,GBMAN,PKISB,,0.0,PK
L0387,INBLR,GBLHR,,0.0,GB
L0388,TNTUN,USSLC,,0.0,US
L0389,CABLR,USNYC,,0.0,US
L0390,CNDLC,SDJUB,,0.0,SD
L0391,CNPVG,INCCU,,0.0,IN
L0392,GBBFS,RUVKO,,0.0,RU
L0393,JPHKT,CNPEK,,0.0,CN
L0394,ECGYE,CAYQB,,0.0,CA
L0395,USORD,LTKLJ,,0.0,LT
L0396,GBLHR,RUVKO,,0.0,RU
L0397,JOAMM,AONBJ,,0.0,AO
L0398,INCOK,IQBSR,,0.0,IQ
L0399,GBLON,GBGLA,,0.0,GB
L0400,INBLR,OMMCT,,0.0,OM
L0401,GBBHX,ILTLV,,0.0,IL
L0402,SAJED,IQBGW,,0.0,IQ
L0403,FIHEL,SESTO,,0.0,SE
L0404,ECGYE,JPOKA,,0.0,JP
L0405,INBLR,ETADD,,0.0,ET
L0406,GRATH,GBLHR,,0.0,GB
L0407,GBLHR,NGLOS,,0.0,NG
L0408,CNCKG,KZALA,,0.0,KZ
L0409,ECGYE,AEDWC,,0.0,AE
L0410,OMMCT,JOAMM,,0.0,JO
L0411,BEBRU,PLWAW,,0.0,PL
L0412,FRCQF,CRSJO,,0.0,CR
L0413,KRINC,JOAMM,,0.0,JO
L0414,ECGYE,MXMEX,,0.0,MX
L0415,CNXMN,JPHMD,,0.0,JP
L0416,KWKWI,CNPVG,,0.0,CN
L0417,JPNRT,TDNDJ,,0.0,TD
L0418,CNCGU,PFPPT,,0.0,PF
L0419,LVRIX,HKHKG,,0.0,HK
L0420,MVMLE,MGTNR,,0.0,MG
L0421,FRCDG,ILTLV,,0.0,IL
L0422,USMIA,CDFBM,,0.0,CD
L0423,CZPRG,BHBAH,,0.0,BH
L0424,SESTO,CYECN,,0.0,CY
L0425,USDET,KZNQZ,,0.0,KZ
L0426,CNEHU,CDFBM,,0.0,CD
L0427,USDTW,USCHI,,0.0,US
L0428,CNWUX,JPCTS,,0.0,JP
L0429,GBMAN,AEAUH,,0.0,AE
L0430,GBMAN,BDDAC,,0.0,BD
L0431,USMIA,USBOS,,0.0,US
L0432,GBBHX,SEMMA,,0.0,SE
L0433,DKCPH,LKCMB,,0.0,LK
L0434,CNPKX,CUSCU,,0.0,CU
L0435,BDDAC,LYMJI,,0.0,LY
L0436,JPHND,JPNGO,,0.0,JP
L0437,MGTNR,CGPNR,,0.0,CG
L0438,NPKTM,CAYUL,,0.0,CA
L0439,AUADL,CYLCA,,0.0,CY
L0440,HNSLO,MYPEN,,0.0,MY
L0441,USSTL,SCSEZ,,0.0,SC
L0442,INBOM,GBMAN,,0.0,GB
L0443,MXMEX,IQBSR,,0.0,IQ
L0444,ILTLV,SEMMA,,0.0,SE
L0445,TRIST,TMASB,,0.0,TM
L0446,MXMEX,USPDX,,0.0,US
L0447,CAYVR,CAYYC,,0.0,CA
L0448,GBBBS,DZALG,,0.0,DZ
L0449,PKSKT,CYLCA,,0.0,CY
L0450,VNHAN,KPICN,,0.0,KP
L0451,GBLHR,CFBGF,,0.0,CF
L0452,LKCMB,DZALG,,0.0,DZ
L0453,PKLHE,HKHI0,,0.0,HK
L0454,AOLAD,SCSEZ,,0.0,SC
L0455,GBLON,IQBSR,,0.0,IQ
L0456,NPKTM,CHZRH,,0.0,CH
L0457,CNHGH,OMMCT,,0.0,OM
L0458,CNMFM,TJDYU,,0.0,TJ
L0459,GBMAN,USLAS,,0.0,US
L0460,CAYYZ,GTGUA,,0.0,GT
L0461,TRIZM,MGTNR,,0.0,MG
L0462,CNCGO,INDEL,,0.0,IN
L0463,DKCPH,UYMVD,,0.0,UY
L0464,ETADD,CAYWG,,0.0,CA
L0465,IQEBL,AGANU,,0.0,AG
L0466,CNXIY,JPNGO,,0.0,JP
L0467,OMMCT,HTPAP,,0.0,HT
L0468,USCVG,CDBZV,,0.0,CD
L0469,TNTUN,SDJUB,,0.0,SD
L0470,KWKWI,CNWUH,,0.0,CN
L0471,GTGUA,TNTUN,,0.0,TN
L0472,IDCGK,IQEBL,,0.0,IQ
L0473,BDDAC,IQBGW,,0.0,IQ
L0474,AEDXB,GBMAN,,0.0,GB
L0475,INCOK,GBMAN,,0.0,GB
L0476,ECDUN,CAYEG,,0.0,CA
L0477,AUBNE,ETADD,,0.0,ET
L0478,GBMAN,INBOM,,0.0,IN
L0479,CNYAT,SAJED,,0.0,SA
L0480,USCHI,TJDYU,,0.0,TJ
L0481,IDCGK,CNCTU,,0.0,CN
L0482,PWROR,CASKI,,0.0,CA
L0483,GBEMA,GBSTN,,0.0,GB
L0484,ECUIO,GBDVR,,0.0,GB
L0485,MUMRU,GBSTN,,0.0,GB
L0486,BHBAH,BEANR,,0.0,BE
L0487,GBLHR,BDDAC,,0.0,BD
L0488,GBLHR,GHACC,,0.0,GH
L0489,DEDUI,NPKTM,,0.0,NP
L0490,ILTLV,GBTIL,,0.0,GB
L0491,GBLGW,CDFBM,,0.0,CD
L0492,AEDWC,CNCAN,,0.0,CN
L0493,AEAUH,JOAMM,,0.0,JO
L0494,LVRIX,NLAMS,,0.0,NL
L0495,JOAMM,AMEVN,,0.0,AM
L0496,SAJED,TJDYU,,0.0,TJ
L0497,JPHKT,CNHGH,,0.0,CN
L0498,MYPEN,INBOM,,0.0,IN
L0499,INBLR,HKHI0,,0.0,HK
L0500,TRIST,DESTR,,0.0,DE
L0501,CNSHA,JOAMM,,0.0,JO
L0502,USSFO,TNTUN,,0.0,TN
L0503,JPNGO,KZALA,,0.0,KZ
L0504,TWTPE,AEAUH,,0.0,AE
L0505,GBBHM,GBMAN,,0.0,GB
L0506,DECGN,SEMMA,,0.0,SE
L0507,ZAJNB,KGFRU,,0.0,KG
L0508,CNPVG,INDEL,,0.0,IN
L0509,USCHI,LULUX,,0.0,LU
L0510,CNTSN,IQEBL,,0.0,IQ
L0511,GBLHR,CAYYC,,0.0,CA
L0512,JOAMM,DESTR,,0.0,DE
L0513,CASJB,SCSEZ,,0.0,SC
L0514,NLAMS,DKCPH,,0.0,DK
L0515,GBLHR,VNHAN,,0.0,VN
L0516,TWTPE,DEFRA,,0.0,DE
L0517,GBLHR,UZTAS,,0.0,UZ
L0518,GBMNC,GBMNC,,0.0,GB
L0519,ITSWK,GBMAN,,0.0,GB
L0520,TRADB,GBLHR,,0.0,GB
L0521,GBLHR,IDCGK,,0.0,ID
L0522,DKCPH,GBLHR,,0.0,GB
L0523,DEBRE,GBLHR,,0.0,GB
L0524,GBSTN,CNPVG,,0.0,CN
L0525,USCLE,GBLHR,,0.0,GB
L0526,GBLHR,USDTW,,0.0,US
L0527,DEFRA,CNCAN,,0.0,CN
L0528,PLWAW,GBLHR,,0.0,GB
L0529,GBLHR,PKLHE,,0.0,PK
L0530,USEWR,GBMAN,,0.0,GB
L0531,HKHKG,USORD,,0.0,US
L0532,GBLGW,QADOH,,0.0,QA
L0533,GBLHR,UGEBB,,0.0,UG
L0534,ECGYE,ILTLV,,0.0,IL
L0535,FJSUV,UZTAS,,0.0,UZ
L0536,AESHJ,RWKGL,,0.0,RW
L0537,PKSKT,TZDAR,,0.0,TZ
L0538,IDCGK,JPHND,,0.0,JP
L0539,CNCGU,INDEL,,0.0,IN
L0540,GBLHR,ZACPT,,0.0,ZA
L0541,USCLT,SDKRT,,0.0,SD
L0542,GBBFS,FIHEL,,0.0,FI
L0543,SARUH,SDKRT,,0.0,SD
L0544,CAYUL,GBLHR,,0.0,GB
L0545,PKISB,UZTAS,,0.0,UZ
L0546,TRAYT,GBLBA,,0.0,GB
L0547,TRIST,CRSJO,,0.0,CR
L0548,CRSJO,SKBTS,,0.0,SK
L0549,USBOS,TMASB,,0.0,TM
L0550,CNYAT,KWKWI,,0.0,KW
L0551,KPICN,ESMAD,,0.0,ES
L0552,FIHEL,BSNAS,,0.0,BS
L0553,CNCAN,USLAX,,0.0,US
L0554,JPNRT,GBMAN,,0.0,GB
L0555,GBLHR,USCLT,,0.0,US
L0556,AEAUH,GBMAN,,0.0,GB
L0557,GBLHR,CGPNR,,0.0,CG
L0558,CNCAN,ITMXP,,0.0,IT
L0559,PELIM,SOHGA,,0.0,SO
L0560,KRICN,SADMM,,0.0,SA
L0561,CNCAN,SAJUB,,0.0,SA
L0562,AOLAD,AUDRW,,0.0,AU
L0563,VNHAN,AEDXB,,0.0,AE
L0564,AZGYD,RUVKO,,0.0,RU
L0565,DEHHN,ITCTA,,0.0,IT
L0566,INCCU,KGFRU,,0.0,KG
L0567,IDCGK,TJDYU,,0.0,TJ
L0568,CNXIA,MWLLW,,0.0,MW
L0569,AGSJO,IRIKA,,0.0,IR
L0570,JOAMM,VNSGN,,0.0,VN
L0571,GBMAN,USJFK,,0.0,US
L0572,USCVG,TDNDJ,,0.0,TD
L0573,ILTLV,BEANR,,0.0,BE
L0574,AUSYD,IRIKA,,0.0,IR
L0575,CNSZX,BDDAC,,0.0,BD
L0576,JPHKT,CUSCU,,0.0,CU
L0577,GBLHR,OMMCT,,0.0,OM
L0578,AOLAD,MQFDF,,0.0,MQ
L0579,HNSLO,MGTNR,,0.0,MG
L0580,KZALA,USBOS,,0.0,US
L0581,ECGYE,USORD,,0.0,US
L0582,TRISL,KWKWI,,0.0,KW
L0583,GBPIK,SKBTS,,0.0,SK
L0584,ECGYE,MTMLA,,0.0,MT
L0585,ETADD,NPKTM,,0.0,NP
L0586,USCVG,GBLHR,,0.0,GB
L0587,USJFK,USLAX,,0.0,US
L0588,GBLHR,EGCAI,,0.0,EG
L0589,TRIST,GBMAN,,0.0,GB
L0590,CRSJO,GBMAN,,0.0,GB
L0591,CABLR,GBMAN,,0.0,GB
