VID,VNm,VType,V_Avg_Time,V_Avg_Delay,Voyage
V0071,R-00121757 RAIL 1,RAIL,0.0,0.0,VOY-1976
V0072,R-00121757 RAIL 2,RAIL,0.0,0.0,VOY-3819
V0073,R-00121757 RAIL 3,RAIL,0.0,0.0,VOY-2785
V0074,R-00121757 RAIL 4,RAIL,0.0,0.0,VOY-1415
V0075,R-00121757 RAIL 5,RAIL,0.0,0.0,VOY-3319
V0076,TRK-56-SR ROAD 1,ROAD,0.0,0.0,VOY-2924
V0077,TRK-56-SR ROAD 2,ROAD,0.0,0.0,VOY-3901
V0078,TRK-56-SR ROAD 3,ROAD,0.0,0.0,VOY-3820
V0079,TRK-56-SR ROAD 4,ROAD,0.0,0.0,VOY-7799
V0080,TRK-56-SR ROAD 5,ROAD,0.0,0.0,VOY-4598
V0081,R-00122824 RAIL 1,RAIL,0.0,0.0,VOY-2689
V0082,R-00122824 RAIL 2,RAIL,0.0,0.0,VOY-6771
V0083,R-00122824 RAIL 3,RAIL,0.0,0.0,VOY-6157
V0084,R-00122824 RAIL 4,RAIL,0.0,0.0,VOY-5856
V0085,R-00122824 RAIL 5,RAIL,0.0,0.0,VOY-7555
V0086,TRK-64-AS ROAD 1,ROAD,0.0,0.0,VOY-1946
V0087,TRK-64-AS ROAD 2,ROAD,0.0,0.0,VOY-1835
V0088,TRK-64-AS ROAD 3,ROAD,0.0,0.0,VOY-8863
V0089,TRK-64-AS ROAD 4,ROAD,0.0,0.0,VOY-3485
V0090,TRK-64-AS ROAD 5,ROAD,0.0,0.0,VOY-4338
V0091,TRK-47-EV ROAD 1,ROAD,0.0,0.0,VOY-1668
V0092,TRK-47-EV ROAD 2,ROAD,0.0,0.0,VOY-7598
V0093,TRK-47-EV ROAD 3,ROAD,0.0,0.0,VOY-9113
V0094,TRK-47-EV ROAD 4,ROAD,0.0,0.0,VOY-4541
V0095,TRK-47-EV ROAD 5,ROAD,0.0,0.0,VOY-9243
V0096,TRK-70-BW ROAD 1,ROAD,0.0,0.0,VOY-6439
V0097,TRK-70-BW ROAD 2,ROAD,0.0,0.0,VOY-3630
V0098,TRK-70-BW ROAD 3,ROAD,0.0,0.0,VOY-4324
V0099,TRK-70-BW ROAD 4,ROAD,0.0,0.0,VOY-2871
V0100,TRK-70-BW ROAD 5,ROAD,0.0,0.0,VOY-1523
V0101,TRK-12-QX ROAD 1,ROAD,0.0,0.0,VOY-7069
V0102,TRK-12-QX ROAD 2,ROAD,0.0,0.0,VOY-9577
V0103,TRK-12-QX ROAD 3,ROAD,0.0,0.0,VOY-5747
V0104,TRK-12-QX ROAD 4,ROAD,0.0,0.0,VOY-1254
V0105,TRK-12-QX ROAD 5,ROAD,0.0,0.0,VOY-9639
V0106,TRK-31-JY ROAD 1,ROAD,0.0,0.0,VOY-7418
V0107,TRK-31-JY ROAD 2,ROAD,0.0,0.0,VOY-4450
V0108,TRK-31-JY ROAD 3,ROAD,0.0,0.0,VOY-5075
V0109,TRK-31-JY ROAD 4,ROAD,0.0,0.0,VOY-4792
V0110,TRK-31-JY ROAD 5,ROAD,0.0,0.0,VOY-9621
V0111,TRK-44-MG ROAD 1,ROAD,0.0,0.0,VOY-7133
V0112,TRK-44-MG ROAD 2,ROAD,0.0,0.0,VOY-2921
V0113,TRK-44-MG ROAD 3,ROAD,0.0,0.0,VOY-7676
V0114,TRK-44-MG ROAD 4,ROAD,0.0,0.0,VOY-1089
V0115,TRK-44-MG ROAD 5,ROAD,0.0,0.0,VOY-3739
V0116,TRK-41-ZN ROAD 1,ROAD,0.0,0.0,VOY-8049
V0117,TRK-41-ZN ROAD 2,ROAD,0.0,0.0,VOY-8236
V0118,TRK-41-ZN ROAD 3,ROAD,0.0,0.0,VOY-7785
V0119,TRK-41-ZN ROAD 4,ROAD,0.0,0.0,VOY-1538
V0120,TRK-41-ZN ROAD 5,ROAD,0.0,0.0,VOY-7082
V0121,TRK-57-PO ROAD 1,ROAD,0.0,0.0,VOY-8746
V0122,TRK-57-PO ROAD 2,ROAD,0.0,0.0,VOY-5566
V0123,TRK-57-PO ROAD 3,ROAD,0.0,0.0,VOY-8768
V0124,TRK-57-PO ROAD 4,ROAD,0.0,0.0,VOY-3443
V0125,TRK-57-PO ROAD 5,ROAD,0.0,0.0,VOY-5938
V0126,TRK-26-AV ROAD 1,ROAD,0.0,0.0,VOY-9480
V0127,TRK-26-AV ROAD 2,ROAD,0.0,0.0,VOY-1691
V0128,TRK-26-AV ROAD 3,ROAD,0.0,0.0,VOY-6963
V0129,TRK-26-AV ROAD 4,ROAD,0.0,0.0,VOY-7007
V0130,TRK-26-AV ROAD 5,ROAD,0.0,0.0,VOY-3174
V0131,R-00124310 RAIL 1,RAIL,0.0,0.0,VOY-5375
V0132,R-00124310 RAIL 2,RAIL,0.0,0.0,VOY-7882
V0133,R-00124310 RAIL 3,RAIL,0.0,0.0,VOY-2994
V0134,R-00124310 RAIL 4,RAIL,0.0,0.0,VOY-2428
V0135,R-00124310 RAIL 5,RAIL,0.0,0.0,VOY-5793
V0136,TRK-65-EX ROAD 1,ROAD,0.0,0.0,VOY-1768
V0137,TRK-65-EX ROAD 2,ROAD,0.0,0.0,VOY-5456
V0138,TRK-65-EX ROAD 3,ROAD,0.0,0.0,VOY-2364
V0139,TRK-65-EX ROAD 4,ROAD,0.0,0.0,VOY-5254
V0140,TRK-65-EX ROAD 5,ROAD,0.0,0.0,VOY-9717
V0141,R-00124388 RAIL 1,RAIL,0.0,0.0,VOY-2474
V0142,R-00124388 RAIL 2,RAIL,0.0,0.0,VOY-5952
V0143,R-00124388 RAIL 3,RAIL,0.0,0.0,VOY-2893
V0144,R-00124388 RAIL 4,RAIL,0.0,0.0,VOY-3223
V0145,R-00124388 RAIL 5,RAIL,0.0,0.0,VOY-2354
V0146,TRK-44-EA ROAD 1,ROAD,0.0,0.0,VOY-2137
V0147,TRK-44-EA ROAD 2,ROAD,0.0,0.0,VOY-3703
V0148,TRK-44-EA ROAD 3,ROAD,0.0,0.0,VOY-3103
V0149,TRK-44-EA ROAD 4,ROAD,0.0,0.0,VOY-7701
V0150,TRK-44-EA ROAD 5,ROAD,0.0,0.0,VOY-7035
V0151,TRK-54-OA ROAD 1,ROAD,0.0,0.0,VOY-5687
V0152,TRK-54-OA ROAD 2,ROAD,0.0,0.0,VOY-1460
V0153,TRK-54-OA ROAD 3,ROAD,0.0,0.0,VOY-8772
V0154,TRK-54-OA ROAD 4,ROAD,0.0,0.0,VOY-7008
V0155,TRK-54-OA ROAD 5,ROAD,0.0,0.0,VOY-7755
V0156,TRK-73-SM ROAD 1,ROAD,0.0,0.0,VOY-7728
V0157,TRK-73-SM ROAD 2,ROAD,0.0,0.0,VOY-6648
V0158,TRK-73-SM ROAD 3,ROAD,0.0,0.0,VOY-5100
V0159,TRK-73-SM ROAD 4,ROAD,0.0,0.0,VOY-6480
V0160,TRK-73-SM ROAD 5,ROAD,0.0,0.0,VOY-8598
V0161,TRK-11-YR ROAD 1,ROAD,0.0,0.0,VOY-3406
V0162,TRK-11-YR ROAD 2,ROAD,0.0,0.0,VOY-3162
V0163,TRK-11-YR ROAD 3,ROAD,0.0,0.0,VOY-1065
V0164,TRK-11-YR ROAD 4,ROAD,0.0,0.0,VOY-5745
V0165,TRK-11-YR ROAD 5,ROAD,0.0,0.0,VOY-1097
V0166,R-00125121 RAIL 1,RAIL,0.0,0.0,VOY-8936
V0167,R-00125121 RAIL 2,RAIL,0.0,0.0,VOY-5697
V0168,R-00125121 RAIL 3,RAIL,0.0,0.0,VOY-6848
V0169,R-00125121 RAIL 4,RAIL,0.0,0.0,VOY-7717
V0170,R-00125121 RAIL 5,RAIL,0.0,0.0,VOY-2873
V0171,R-00125128 RAIL 1,RAIL,0.0,0.0,VOY-7103
V0172,R-00125128 RAIL 2,RAIL,0.0,0.0,VOY-6554
V0173,R-00125128 RAIL 3,RAIL,0.0,0.0,VOY-3242
V0174,R-00125128 RAIL 4,RAIL,0.0,0.0,VOY-1705
V0175,R-00125128 RAIL 5,RAIL,0.0,0.0,VOY-7289
V0176,TRK-94-TC ROAD 1,ROAD,0.0,0.0,VOY-3688
V0177,TRK-94-TC ROAD 2,ROAD,0.0,0.0,VOY-4837
V0178,TRK-94-TC ROAD 3,ROAD,0.0,0.0,VOY-4013
V0179,TRK-94-TC ROAD 4,ROAD,0.0,0.0,VOY-6066
V0180,TRK-94-TC ROAD 5,ROAD,0.0,0.0,VOY-7204
V0181,TRK-3-HS ROAD 1,ROAD,0.0,0.0,VOY-8783
V0182,TRK-3-HS ROAD 2,ROAD,0.0,0.0,VOY-5434
V0183,TRK-3-HS ROAD 3,ROAD,0.0,0.0,VOY-7039
V0184,TRK-3-HS ROAD 4,ROAD,0.0,0.0,VOY-9823
V0185,TRK-3-HS ROAD 5,ROAD,0.0,0.0,VOY-9760
V0186,TRK-98-OD ROAD 1,ROAD,0.0,0.0,VOY-5413
V0187,TRK-98-OD ROAD 2,ROAD,0.0,0.0,VOY-7870
V0188,TRK-98-OD ROAD 3,ROAD,0.0,0.0,VOY-7440
V0189,TRK-98-OD ROAD 4,ROAD,0.0,0.0,VOY-2198
V0190,TRK-98-OD ROAD 5,ROAD,0.0,0.0,VOY-8192
V0191,TRK-47-FJ ROAD 1,ROAD,0.0,0.0,VOY-3783
V0192,TRK-47-FJ ROAD 2,ROAD,0.0,0.0,VOY-2080
V0193,TRK-47-FJ ROAD 3,ROAD,0.0,0.0,VOY-9588
V0194,TRK-47-FJ ROAD 4,ROAD,0.0,0.0,VOY-5651
V0195,TRK-47-FJ ROAD 5,ROAD,0.0,0.0,VOY-2795
V0196,TRK-59-RJ ROAD 1,ROAD,0.0,0.0,VOY-2518
V0197,TRK-59-RJ ROAD 2,ROAD,0.0,0.0,VOY-8766
V0198,TRK-59-RJ ROAD 3,ROAD,0.0,0.0,VOY-2829
V0199,TRK-59-RJ ROAD 4,ROAD,0.0,0.0,VOY-5988
V0200,TRK-59-RJ ROAD 5,ROAD,0.0,0.0,VOY-3999
V0201,TRK-83-FS ROAD 1,ROAD,0.0,0.0,VOY-9602
V0202,TRK-83-FS ROAD 2,ROAD,0.0,0.0,VOY-9350
V0203,TRK-83-FS ROAD 3,ROAD,0.0,0.0,VOY-1447
V0204,TRK-83-FS ROAD 4,ROAD,0.0,0.0,VOY-3018
V0205,TRK-83-FS ROAD 5,ROAD,0.0,0.0,VOY-8933
V0206,TRK-75-JW ROAD 1,ROAD,0.0,0.0,VOY-7554
V0207,TRK-75-JW ROAD 2,ROAD,0.0,0.0,VOY-6910
V0208,TRK-75-JW ROAD 3,ROAD,0.0,0.0,VOY-5510
V0209,TRK-75-JW ROAD 4,ROAD,0.0,0.0,VOY-8866
V0210,TRK-75-JW ROAD 5,ROAD,0.0,0.0,VOY-2799
V0211,TRK-68-XZ ROAD 1,ROAD,0.0,0.0,VOY-3206
V0212,TRK-68-XZ ROAD 2,ROAD,0.0,0.0,VOY-5035
V0213,TRK-68-XZ ROAD 3,ROAD,0.0,0.0,VOY-7756
V0214,TRK-68-XZ ROAD 4,ROAD,0.0,0.0,VOY-5859
V0215,TRK-68-XZ ROAD 5,ROAD,0.0,0.0,VOY-2573
V0216,R-00127087 RAIL 1,RAIL,0.0,0.0,VOY-7099
V0217,R-00127087 RAIL 2,RAIL,0.0,0.0,VOY-9099
V0218,R-00127087 RAIL 3,RAIL,0.0,0.0,VOY-8331
V0219,R-00127087 RAIL 4,RAIL,0.0,0.0,VOY-9271
V0220,R-00127087 RAIL 5,RAIL,0.0,0.0,VOY-2435
V0221,TRK-70-ZZ ROAD 1,ROAD,0.0,0.0,VOY-1408
V0222,TRK-70-ZZ ROAD 2,ROAD,0.0,0.0,VOY-7389
V0223,TRK-70-ZZ ROAD 3,ROAD,0.0,0.0,VOY-2322
V0224,TRK-70-ZZ ROAD 4,ROAD,0.0,0.0,VOY-4994
V0225,TRK-70-ZZ ROAD 5,ROAD,0.0,0.0,VOY-3711
V0226,R-00127169 RAIL 1,RAIL,0.0,0.0,VOY-2391
V0227,R-00127169 RAIL 2,RAIL,0.0,0.0,VOY-7788
V0228,R-00127169 RAIL 3,RAIL,0.0,0.0,VOY-8572
V0229,R-00127169 RAIL 4,RAIL,0.0,0.0,VOY-2321
V0230,R-00127169 RAIL 5,RAIL,0.0,0.0,VOY-1279
V0231,TRK-53-DD ROAD 1,ROAD,0.0,0.0,VOY-7438
V0232,TRK-53-DD ROAD 2,ROAD,0.0,0.0,VOY-7090
V0233,TRK-53-DD ROAD 3,ROAD,0.0,0.0,VOY-7886
V0234,TRK-53-DD ROAD 4,ROAD,0.0,0.0,VOY-5148
V0235,TRK-53-DD ROAD 5,ROAD,0.0,0.0,VOY-4227
V0236,R-00127179 RAIL 1,RAIL,0.0,0.0,VOY-1631
V0237,R-00127179 RAIL 2,RAIL,0.0,0.0,VOY-1892
V0238,R-00127179 RAIL 3,RAIL,0.0,0.0,VOY-3431
V0239,R-00127179 RAIL 4,RAIL,0.0,0.0,VOY-5629
V0240,R-00127179 RAIL 5,RAIL,0.0,0.0,VOY-8106
V0241,TRK-98-CU ROAD 1,ROAD,0.0,0.0,VOY-3438
V0242,TRK-98-CU ROAD 2,ROAD,0.0,0.0,VOY-4881
V0243,TRK-98-CU ROAD 3,ROAD,0.0,0.0,VOY-9848
V0244,TRK-98-CU ROAD 4,ROAD,0.0,0.0,VOY-8280
V0245,TRK-98-CU ROAD 5,ROAD,0.0,0.0,VOY-7869
V0246,TRK-10-YF ROAD 1,ROAD,0.0,0.0,VOY-7611
V0247,TRK-10-YF ROAD 2,ROAD,0.0,0.0,VOY-1174
V0248,TRK-10-YF ROAD 3,ROAD,0.0,0.0,VOY-8667
V0249,TRK-10-YF ROAD 4,ROAD,0.0,0.0,VOY-2478
V0250,TRK-10-YF ROAD 5,ROAD,0.0,0.0,VOY-1512
V0251,TRK-32-FS ROAD 1,ROAD,0.0,0.0,VOY-7113
V0252,TRK-32-FS ROAD 2,ROAD,0.0,0.0,VOY-2366
V0253,TRK-32-FS ROAD 3,ROAD,0.0,0.0,VOY-3243
V0254,TRK-32-FS ROAD 4,ROAD,0.0,0.0,VOY-8164
V0255,TRK-32-FS ROAD 5,ROAD,0.0,0.0,VOY-9818
V0256,R-00128274 RAIL 1,RAIL,0.0,0.0,VOY-4551
V0257,R-00128274 RAIL 2,RAIL,0.0,0.0,VOY-5183
V0258,R-00128274 RAIL 3,RAIL,0.0,0.0,VOY-5009
V0259,R-00128274 RAIL 4,RAIL,0.0,0.0,VOY-4053
V0260,R-00128274 RAIL 5,RAIL,0.0,0.0,VOY-7848
V0261,TRK-69-QT ROAD 1,ROAD,0.0,0.0,VOY-5803
V0262,TRK-69-QT ROAD 2,ROAD,0.0,0.0,VOY-7832
V0263,TRK-69-QT ROAD 3,ROAD,0.0,0.0,VOY-7728
V0264,TRK-69-QT ROAD 4,ROAD,0.0,0.0,VOY-1792
V0265,TRK-69-QT ROAD 5,ROAD,0.0,0.0,VOY-8612
V0266,TRK-79-GJ ROAD 1,ROAD,0.0,0.0,VOY-3223
V0267,TRK-79-GJ ROAD 2,ROAD,0.0,0.0,VOY-7976
V0268,TRK-79-GJ ROAD 3,ROAD,0.0,0.0,VOY-8657
V0269,TRK-79-GJ ROAD 4,ROAD,0.0,0.0,VOY-1317
V0270,TRK-79-GJ ROAD 5,ROAD,0.0,0.0,VOY-2831
V0271,TRK-19-EW ROAD 1,ROAD,0.0,0.0,VOY-9283
V0272,TRK-19-EW ROAD 2,ROAD,0.0,0.0,VOY-9697
V0273,TRK-19-EW ROAD 3,ROAD,0.0,0.0,VOY-6388
V0274,TRK-19-EW ROAD 4,ROAD,0.0,0.0,VOY-9338
V0275,TRK-19-EW ROAD 5,ROAD,0.0,0.0,VOY-7820
V0276,TRK-28-IA ROAD 1,ROAD,0.0,0.0,VOY-2258
V0277,TRK-28-IA ROAD 2,ROAD,0.0,0.0,VOY-9122
V0278,TRK-28-IA ROAD 3,ROAD,0.0,0.0,VOY-2431
V0279,TRK-28-IA ROAD 4,ROAD,0.0,0.0,VOY-7678
V0280,TRK-28-IA ROAD 5,ROAD,0.0,0.0,VOY-8717
V0281,R-00129241 RAIL 1,RAIL,0.0,0.0,VOY-4545
V0282,R-00129241 RAIL 2,RAIL,0.0,0.0,VOY-4226
V0283,R-00129241 RAIL 3,RAIL,0.0,0.0,VOY-9781
V0284,R-00129241 RAIL 4,RAIL,0.0,0.0,VOY-6411
V0285,R-00129241 RAIL 5,RAIL,0.0,0.0,VOY-2302
V0286,R-00130262 RAIL 1,RAIL,0.0,0.0,VOY-5184
V0287,R-00130262 RAIL 2,RAIL,0.0,0.0,VOY-8377
V0288,R-00130262 RAIL 3,RAIL,0.0,0.0,VOY-2148
V0289,R-00130262 RAIL 4,RAIL,0.0,0.0,VOY-8553
V0290,R-00130262 RAIL 5,RAIL,0.0,0.0,VOY-8206
V0291,TRK-77-CS ROAD 1,ROAD,0.0,0.0,VOY-1010
V0292,TRK-77-CS ROAD 2,ROAD,0.0,0.0,VOY-6029
V0293,TRK-77-CS ROAD 3,ROAD,0.0,0.0,VOY-2832
V0294,TRK-77-CS ROAD 4,ROAD,0.0,0.0,VOY-8459
V0295,TRK-77-CS ROAD 5,ROAD,0.0,0.0,VOY-3164
V0296,R-00130460 RAIL 1,RAIL,0.0,0.0,VOY-4396
V0297,R-00130460 RAIL 2,RAIL,0.0,0.0,VOY-8350
V0298,R-00130460 RAIL 3,RAIL,0.0,0.0,VOY-7221
V0299,R-00130460 RAIL 4,RAIL,0.0,0.0,VOY-4460
V0300,R-00130460 RAIL 5,RAIL,0.0,0.0,VOY-2666
V0301,TRK-77-SZ ROAD 1,ROAD,0.0,0.0,VOY-9161
V0302,TRK-77-SZ ROAD 2,ROAD,0.0,0.0,VOY-1266
V0303,TRK-77-SZ ROAD 3,ROAD,0.0,0.0,VOY-3659
V0304,TRK-77-SZ ROAD 4,ROAD,0.0,0.0,VOY-8214
V0305,TRK-77-SZ ROAD 5,ROAD,0.0,0.0,VOY-5863
V0306,R-00130506 RAIL 1,RAIL,0.0,0.0,VOY-7937
V0307,R-00130506 RAIL 2,RAIL,0.0,0.0,VOY-4838
V0308,R-00130506 RAIL 3,RAIL,0.0,0.0,VOY-2100
V0309,R-00130506 RAIL 4,RAIL,0.0,0.0,VOY-4022
V0310,R-00130506 RAIL 5,RAIL,0.0,0.0,VOY-6681
V0311,TRK-24-MB ROAD 1,ROAD,0.0,0.0,VOY-8950
V0312,TRK-24-MB ROAD 2,ROAD,0.0,0.0,VOY-7588
V0313,TRK-24-MB ROAD 3,ROAD,0.0,0.0,VOY-5959
V0314,TRK-24-MB ROAD 4,ROAD,0.0,0.0,VOY-7972
V0315,TRK-24-MB ROAD 5,ROAD,0.0,0.0,VOY-5199
V0316,TRK-92-CE ROAD 1,ROAD,0.0,0.0,VOY-9455
V0317,TRK-92-CE ROAD 2,ROAD,0.0,0.0,VOY-3845
V0318,TRK-92-CE ROAD 3,ROAD,0.0,0.0,VOY-8815
V0319,TRK-92-CE ROAD 4,ROAD,0.0,0.0,VOY-5149
V0320,TRK-92-CE ROAD 5,ROAD,0.0,0.0,VOY-5778
V0321,R-00131048 RAIL 1,RAIL,0.0,0.0,VOY-9372
V0322,R-00131048 RAIL 2,RAIL,0.0,0.0,VOY-1931
V0323,R-00131048 RAIL 3,RAIL,0.0,0.0,VOY-2897
V0324,R-00131048 RAIL 4,RAIL,0.0,0.0,VOY-5274
V0325,R-00131048 RAIL 5,RAIL,0.0,0.0,VOY-4829
V0326,TRK-71-IW ROAD 1,ROAD,0.0,0.0,VOY-5832
V0327,TRK-71-IW ROAD 2,ROAD,0.0,0.0,VOY-8294
V0328,TRK-71-IW ROAD 3,ROAD,0.0,0.0,VOY-8643
V0329,TRK-71-IW ROAD 4,ROAD,0.0,0.0,VOY-6319
V0330,TRK-71-IW ROAD 5,ROAD,0.0,0.0,VOY-1184
V0331,R-00131050 RAIL 1,RAIL,0.0,0.0,VOY-5108
V0332,R-00131050 RAIL 2,RAIL,0.0,0.0,VOY-7477
V0333,R-00131050 RAIL 3,RAIL,0.0,0.0,VOY-7072
V0334,R-00131050 RAIL 4,RAIL,0.0,0.0,VOY-8372
V0335,R-00131050 RAIL 5,RAIL,0.0,0.0,VOY-5931
V0336,TRK-73-KW ROAD 1,ROAD,0.0,0.0,VOY-2363
V0337,TRK-73-KW ROAD 2,ROAD,0.0,0.0,VOY-3444
V0338,TRK-73-KW ROAD 3,ROAD,0.0,0.0,VOY-1411
V0339,TRK-73-KW ROAD 4,ROAD,0.0,0.0,VOY-8587
V0340,TRK-73-KW ROAD 5,ROAD,0.0,0.0,VOY-8056
V0341,R-00131260 RAIL 1,RAIL,0.0,0.0,VOY-7696
V0342,R-00131260 RAIL 2,RAIL,0.0,0.0,VOY-4313
V0343,R-00131260 RAIL 3,RAIL,0.0,0.0,VOY-4136
V0344,R-00131260 RAIL 4,RAIL,0.0,0.0,VOY-4622
V0345,R-00131260 RAIL 5,RAIL,0.0,0.0,VOY-7168
V0346,TRK-85-ME ROAD 1,ROAD,0.0,0.0,VOY-1396
V0347,TRK-85-ME ROAD 2,ROAD,0.0,0.0,VOY-3241
V0348,TRK-85-ME ROAD 3,ROAD,0.0,0.0,VOY-8805
V0349,TRK-85-ME ROAD 4,ROAD,0.0,0.0,VOY-3690
V0350,TRK-85-ME ROAD 5,ROAD,0.0,0.0,VOY-8240
V0351,TRK-47-GS ROAD 1,ROAD,0.0,0.0,VOY-4147
V0352,TRK-47-GS ROAD 2,ROAD,0.0,0.0,VOY-3628
V0353,TRK-47-GS ROAD 3,ROAD,0.0,0.0,VOY-4613
V0354,TRK-47-GS ROAD 4,ROAD,0.0,0.0,VOY-5831
V0355,TRK-47-GS ROAD 5,ROAD,0.0,0.0,VOY-7486
V0356,R-00131733 RAIL 1,RAIL,0.0,0.0,VOY-7389
V0357,R-00131733 RAIL 2,RAIL,0.0,0.0,VOY-8265
V0358,R-00131733 RAIL 3,RAIL,0.0,0.0,VOY-4261
V0359,R-00131733 RAIL 4,RAIL,0.0,0.0,VOY-4721
V0360,R-00131733 RAIL 5,RAIL,0.0,0.0,VOY-1582
V0361,TRK-63-RW ROAD 1,ROAD,0.0,0.0,VOY-8051
V0362,TRK-63-RW ROAD 2,ROAD,0.0,0.0,VOY-5891
V0363,TRK-63-RW ROAD 3,ROAD,0.0,0.0,VOY-8064
V0364,TRK-63-RW ROAD 4,ROAD,0.0,0.0,VOY-1201
V0365,TRK-63-RW ROAD 5,ROAD,0.0,0.0,VOY-5129
V0366,TRK-42-RZ ROAD 1,ROAD,0.0,0.0,VOY-3275
V0367,TRK-42-RZ ROAD 2,ROAD,0.0,0.0,VOY-7168
V0368,TRK-42-RZ ROAD 3,ROAD,0.0,0.0,VOY-1318
