Ext_ID,Factors,Severity_Score,LID
EXT-L0116,Weather,12,L0116
EXT-L0117,Weather,13,L0117
EXT-L0118,Weather,12,L0118
EXT-L0119,Normal,12,L0119
EXT-L0120,Weather,15,L0120
EXT-L0121,Weather,17,L0121
EXT-L0122,Weather,14,L0122
EXT-L0123,Normal,6,L0123
EXT-L0124,Weather,13,L0124
EXT-L0125,Weather,12,L0125
EXT-L0126,Normal,18,L0126
EXT-L0127,Weather,13,L0127
EXT-L0128,Weather,9,L0128
EXT-L0129,Weather,13,L0129
EXT-L0130,Weather,13,L0130
EXT-L0131,Weather,13,L0131
EXT-L0132,Weather,13,L0132
EXT-L0133,Normal,1,L0133
EXT-L0134,Normal,4,L0134
EXT-L0135,Weather,13,L0135
EXT-L0136,Weather,14,L0136
EXT-L0137,Weather,12,L0137
EXT-L0138,Weather,13,L0138
EXT-L0139,Weather,15,L0139
EXT-L0140,Weather,13,L0140
EXT-L0141,Weather,13,L0141
EXT-L0142,Weather,14,L0142
EXT-L0143,Normal,9,L0143
EXT-L0144,Normal,13,L0144
EXT-L0145,Normal,7,L0145
EXT-L0146,Normal,5,L0146
EXT-L0147,Weather,12,L0147
EXT-L0148,Weather,13,L0148
EXT-L0149,Weather,15,L0149
EXT-L0150,Normal,9,L0150
EXT-L0151,Weather,12,L0151
EXT-L0152,Normal,16,L0152
EXT-L0153,Normal,11,L0153
EXT-L0154,Weather,13,L0154
EXT-L0155,Weather,10,L0155
EXT-L0156,Weather,12,L0156
EXT-L0157,Weather,13,L0157
EXT-L0158,Normal,15,L0158
EXT-L0159,Weather,14,L0159
EXT-L0160,Normal,7,L0160
EXT-L0161,Weather,14,L0161
EXT-L0162,Weather,11,L0162
EXT-L0163,Normal,12,L0163
EXT-L0164,Weather,12,L0164
EXT-L0165,Weather,11,L0165
EXT-L0166,Weather,4,L0166
EXT-L0167,Weather,15,L0167
EXT-L0168,Normal,8,L0168
EXT-L0169,Weather,13,L0169
EXT-L0170,Weather,12,L0170
EXT-L0171,Normal,12,L0171
EXT-L0172,Weather,14,L0172
EXT-L0173,Weather,12,L0173
EXT-L0174,Normal,5,L0174
EXT-L0175,Weather,11,L0175
EXT-L0176,Weather,13,L0176
EXT-L0177,Normal,6,L0177
EXT-L0178,Weather,13,L0178
EXT-L0179,Weather,9,L0179
EXT-L0180,Normal,2,L0180
EXT-L0181,Weather,12,L0181
EXT-L0182,Normal,5,L0182
EXT-L0183,Normal,16,L0183
EXT-L0184,Weather,14,L0184
EXT-L0185,Weather,12,L0185
EXT-L0186,Weather,13,L0186
EXT-L0187,Weather,20,L0187
EXT-L0188,Normal,11,L0188
EXT-L0189,Weather,11,L0189
EXT-L0190,Weather,15,L0190
EXT-L0191,Weather,8,L0191
EXT-L0192,Weather,13,L0192
EXT-L0193,Weather,13,L0193
EXT-L0194,Weather,11,L0194
EXT-L0195,Weather,12,L0195
EXT-L0196,Normal,3,L0196
EXT-L0197,Normal,12,L0197
EXT-L0198,Weather,13,L0198
EXT-L0199,Normal,7,L0199
EXT-L0200,Weather,10,L0200
EXT-L0201,Normal,12,L0201
EXT-L0202,Weather,11,L0202
EXT-L0203,Weather,12,L0203
EXT-L0204,Weather,12,L0204
EXT-L0205,Weather,10,L0205
EXT-L0206,Weather,14,L0206
EXT-L0207,Weather,13,L0207
EXT-L0208,Normal,10,L0208
EXT-L0209,Weather,11,L0209
EXT-L0210,Weather,13,L0210
EXT-L0211,Normal,9,L0211
EXT-L0212,Normal,18,L0212
EXT-L0213,Weather,13,L0213
EXT-L0214,Weather,7,L0214
EXT-L0215,Weather,13,L0215
EXT-L0216,Weather,12,L0216
EXT-L0217,Weather,13,L0217
EXT-L0218,Weather,13,L0218
EXT-L0219,Weather,13,L0219
EXT-L0220,Weather,14,L0220
EXT-L0221,Weather,13,L0221
EXT-L0222,Weather,13,L0222
EXT-L0223,Weather,13,L0223
EXT-L0224,Weather,12,L0224
EXT-L0225,Normal,14,L0225
EXT-L0226,Normal,14,L0226
EXT-L0227,Weather,13,L0227
EXT-L0228,Weather,11,L0228
EXT-L0229,Weather,10,L0229
EXT-L0230,Weather,11,L0230
EXT-L0231,Weather,13,L0231
EXT-L0232,Weather,12,L0232
EXT-L0233,Weather,10,L0233
EXT-L0234,Normal,10,L0234
EXT-L0235,Weather,14,L0235
EXT-L0236,Weather,15,L0236
EXT-L0237,Weather,15,L0237
EXT-L0238,Weather,14,L0238
EXT-L0239,Weather,15,L0239
EXT-L0240,Weather,13,L0240
EXT-L0241,Weather,10,L0241
EXT-L0242,Weather,13,L0242
EXT-L0243,Weather,11,L0243
EXT-L0244,Weather,13,L0244
EXT-L0245,Weather,14,L0245
EXT-L0246,Weather,15,L0246
EXT-L0247,Weather,12,L0247
EXT-L0248,Weather,11,L0248
EXT-L0249,Weather,13,L0249
EXT-L0250,Weather,14,L0250
EXT-L0251,Weather,12,L0251
EXT-L0252,Weather,13,L0252
EXT-L0253,Weather,12,L0253
EXT-L0254,Weather,11,L0254
EXT-L0255,Normal,12,L0255
EXT-L0256,Normal,5,L0256
EXT-L0257,Weather,12,L0257
EXT-L0258,Weather,18,L0258
EXT-L0259,Normal,14,L0259
EXT-L0260,Weather,12,L0260
EXT-L0261,Weather,13,L0261
EXT-L0262,Weather,13,L0262
EXT-L0263,Weather,13,L0263
EXT-L0264,Normal,5,L0264
EXT-L0265,Weather,14,L0265
EXT-L0266,Weather,9,L0266
EXT-L0267,Weather,15,L0267
EXT-L0268,Weather,13,L0268
EXT-L0269,Weather,12,L0269
EXT-L0270,Weather,10,L0270
EXT-L0271,Weather,11,L0271
EXT-L0272,Weather,11,L0272
EXT-L0273,Weather,14,L0273
EXT-L0274,Weather,12,L0274
EXT-L0275,Weather,9,L0275
EXT-L0276,Weather,8,L0276
EXT-L0277,Weather,10,L0277
EXT-L0278,Weather,15,L0278
EXT-L0279,Weather,10,L0279
EXT-L0280,Weather,9,L0280
EXT-L0281,Weather,13,L0281
EXT-L0282,Normal,11,L0282
EXT-L0283,Normal,13,L0283
EXT-L0284,Weather,9,L0284
EXT-L0285,Weather,6,L0285
EXT-L0286,Weather,7,L0286
EXT-L0287,Normal,13,L0287
EXT-L0288,Weather,11,L0288
EXT-L0289,Weather,12,L0289
EXT-L0290,Weather,15,L0290
EXT-L0291,Weather,12,L0291
EXT-L0292,Weather,11,L0292
EXT-L0293,Weather,11,L0293
EXT-L0294,Normal,11,L0294
EXT-L0295,Weather,11,L0295
EXT-L0296,Weather,12,L0296
EXT-L0297,Weather,14,L0297
EXT-L0298,Weather,11,L0298
EXT-L0299,Weather,13,L0299
EXT-L0300,Weather,12,L0300
EXT-L0301,Weather,13,L0301
EXT-L0302,Weather,13,L0302
EXT-L0303,Weather,15,L0303
EXT-L0304,Weather,13,L0304
EXT-L0305,Weather,11,L0305
EXT-L0306,Normal,11,L0306
EXT-L0307,Normal,13,L0307
EXT-L0308,Normal,8,L0308
EXT-L0309,Normal,13,L0309
EXT-L0310,Normal,7,L0310
EXT-L0311,Normal,12,L0311
EXT-L0312,Normal,17,L0312
EXT-L0313,Normal,2,L0313
EXT-L0314,Normal,6,L0314
EXT-L0315,Normal,12,L0315
EXT-L0316,Weather,6,L0316
EXT-L0317,Weather,11,L0317
EXT-L0318,Weather,13,L0318
EXT-L0319,Weather,13,L0319
EXT-L0320,Normal,7,L0320
EXT-L0321,Weather,9,L0321
EXT-L0322,Normal,13,L0322
EXT-L0323,Normal,13,L0323
EXT-L0324,Weather,11,L0324
EXT-L0325,Weather,11,L0325
EXT-L0326,Weather,13,L0326
EXT-L0327,Normal,14,L0327
EXT-L0328,Normal,12,L0328
EXT-L0329,Normal,10,L0329
EXT-L0330,Weather,23,L0330
EXT-L0331,Normal,9,L0331
EXT-L0332,Weather,11,L0332
EXT-L0333,Weather,6,L0333
EXT-L0334,Weather,13,L0334
EXT-L0335,Weather,14,L0335
EXT-L0336,Weather,11,L0336
EXT-L0337,Weather,12,L0337
EXT-L0338,Weather,13,L0338
EXT-L0339,Weather,13,L0339
EXT-L0340,Weather,13,L0340
EXT-L0341,Weather,10,L0341
EXT-L0342,Weather,18,L0342
EXT-L0343,Weather,14,L0343
EXT-L0344,Weather,12,L0344
EXT-L0345,Normal,10,L0345
EXT-L0346,Normal,21,L0346
EXT-L0347,Weather,11,L0347
EXT-L0348,Weather,11,L0348
EXT-L0349,Normal,10,L0349
EXT-L0350,Weather,8,L0350
EXT-L0351,Weather,8,L0351
EXT-L0352,Weather,11,L0352
EXT-L0353,Normal,9,L0353
EXT-L0354,Weather,12,L0354
EXT-L0355,Normal,15,L0355
EXT-L0356,Weather,10,L0356
EXT-L0357,Weather,10,L0357
EXT-L0358,Weather,9,L0358
EXT-L0359,Weather,10,L0359
EXT-L0360,Weather,14,L0360
EXT-L0361,Weather,15,L0361
EXT-L0362,Weather,11,L0362
EXT-L0363,Weather,14,L0363
EXT-L0364,Weather,8,L0364
EXT-L0365,Weather,11,L0365
EXT-L0366,Weather,6,L0366
EXT-L0367,Weather,7,L0367
EXT-L0368,Weather,13,L0368
EXT-L0369,Normal,4,L0369
EXT-L0370,Normal,17,L0370
EXT-L0371,Weather,13,L0371
EXT-L0372,Normal,11,L0372
EXT-L0373,Normal,14,L0373
EXT-L0374,Weather,9,L0374
EXT-L0375,Normal,15,L0375
EXT-L0376,Normal,6,L0376
EXT-L0377,Normal,11,L0377
EXT-L0378,Normal,9,L0378
EXT-L0379,Weather,11,L0379
EXT-L0380,Weather,11,L0380
EXT-L0381,Weather,14,L0381
EXT-L0382,Weather,5,L0382
EXT-L0383,Weather,13,L0383
EXT-L0384,Weather,7,L0384
EXT-L0385,Weather,13,L0385
EXT-L0386,Weather,9,L0386
EXT-L0387,Weather,13,L0387
EXT-L0388,Weather,11,L0388
EXT-L0389,Weather,13,L0389
EXT-L0390,Weather,9,L0390
EXT-L0391,Weather,13,L0391
EXT-L0392,Weather,11,L0392
EXT-L0393,Weather,8,L0393
EXT-L0394,Normal,7,L0394
EXT-L0395,Normal,11,L0395
EXT-L0396,Weather,13,L0396
EXT-L0397,Normal,16,L0397
EXT-L0398,Normal,6,L0398
EXT-L0399,Normal,9,L0399
EXT-L0400,Normal,21,L0400
EXT-L0401,Normal,9,L0401
EXT-L0402,Weather,13,L0402
EXT-L0403,Normal,13,L0403
EXT-L0404,Normal,2,L0404
EXT-L0405,Weather,17,L0405
EXT-L0406,Weather,13,L0406
EXT-L0407,Weather,12,L0407
EXT-L0408,Weather,14,L0408
EXT-L0409,Weather,14,L0409
EXT-L0410,Weather,11,L0410
EXT-L0411,Weather,9,L0411
EXT-L0412,Weather,11,L0412
EXT-L0413,Weather,10,L0413
EXT-L0414,Weather,11,L0414
EXT-L0415,Weather,12,L0415
EXT-L0416,Weather,12,L0416
EXT-L0417,Normal,13,L0417
EXT-L0418,Weather,9,L0418
EXT-L0419,Weather,10,L0419
EXT-L0420,Normal,12,L0420
EXT-L0421,Normal,13,L0421
EXT-L0422,Weather,17,L0422
EXT-L0423,Normal,9,L0423
EXT-L0424,Normal,15,L0424
EXT-L0425,Normal,9,L0425
EXT-L0426,Weather,15,L0426
EXT-L0427,Weather,12,L0427
EXT-L0428,Weather,10,L0428
EXT-L0429,Weather,14,L0429
EXT-L0430,Weather,13,L0430
EXT-L0431,Weather,10,L0431
EXT-L0432,Weather,10,L0432
EXT-L0433,Weather,16,L0433
EXT-L0434,Normal,15,L0434
EXT-L0435,Normal,6,L0435
EXT-L0436,Normal,21,L0436
EXT-L0437,Normal,2,L0437
EXT-L0438,Normal,13,L0438
EXT-L0439,Weather,18,L0439
EXT-L0440,Weather,12,L0440
EXT-L0441,Weather,11,L0441
EXT-L0442,Weather,12,L0442
EXT-L0443,Weather,13,L0443
EXT-L0444,Weather,14,L0444
EXT-L0445,Weather,12,L0445
EXT-L0446,Weather,11,L0446
EXT-L0447,Weather,9,L0447
EXT-L0448,Weather,12,L0448
EXT-L0449,Weather,11,L0449
EXT-L0450,Weather,12,L0450
EXT-L0451,Weather,10,L0451
EXT-L0452,Normal,8,L0452
EXT-L0453,Weather,15,L0453
EXT-L0454,Normal,13,L0454
EXT-L0455,Weather,10,L0455
EXT-L0456,Weather,12,L0456
EXT-L0457,Weather,11,L0457
EXT-L0458,Weather,10,L0458
EXT-L0459,Normal,15,L0459
EXT-L0460,Weather,10,L0460
EXT-L0461,Weather,11,L0461
EXT-L0462,Weather,14,L0462
EXT-L0463,Weather,8,L0463
EXT-L0464,Weather,15,L0464
EXT-L0465,Weather,10,L0465
EXT-L0466,Normal,2,L0466
EXT-L0467,Normal,12,L0467
EXT-L0468,Weather,8,L0468
EXT-L0469,Normal,7,L0469
EXT-L0470,Weather,12,L0470
EXT-L0471,Normal,2,L0471
EXT-L0472,Weather,10,L0472
EXT-L0473,Weather,4,L0473
EXT-L0474,Weather,12,L0474
EXT-L0475,Weather,15,L0475
EXT-L0476,Weather,12,L0476
EXT-L0477,Weather,13,L0477
EXT-L0478,Weather,13,L0478
EXT-L0479,Weather,12,L0479
EXT-L0480,Weather,8,L0480
EXT-L0481,Weather,14,L0481
EXT-L0482,Weather,11,L0482
EXT-L0483,Normal,10,L0483
EXT-L0484,Weather,14,L0484
EXT-L0485,Normal,18,L0485
EXT-L0486,Normal,14,L0486
EXT-L0487,Weather,13,L0487
EXT-L0488,Weather,13,L0488
EXT-L0489,Weather,11,L0489
EXT-L0490,Normal,14,L0490
EXT-L0491,Weather,17,L0491
EXT-L0492,Weather,9,L0492
EXT-L0493,Normal,14,L0493
EXT-L0494,Weather,8,L0494
EXT-L0495,Weather,12,L0495
EXT-L0496,Weather,14,L0496
EXT-L0497,Weather,12,L0497
EXT-L0498,Normal,5,L0498
EXT-L0499,Weather,11,L0499
EXT-L0500,Weather,8,L0500
EXT-L0501,Normal,15,L0501
EXT-L0502,Normal,6,L0502
EXT-L0503,Normal,18,L0503
EXT-L0504,Weather,11,L0504
EXT-L0505,Normal,15,L0505
EXT-L0506,Normal,4,L0506
EXT-L0507,Weather,12,L0507
EXT-L0508,Normal,9,L0508
EXT-L0509,Weather,11,L0509
EXT-L0510,Weather,12,L0510
EXT-L0511,Weather,13,L0511
EXT-L0512,Normal,5,L0512
EXT-L0513,Normal,12,L0513
EXT-L0514,Weather,12,L0514
EXT-L0515,Weather,13,L0515
EXT-L0516,Normal,16,L0516
EXT-L0517,Weather,10,L0517
EXT-L0518,Normal,11,L0518
EXT-L0519,Weather,13,L0519
EXT-L0520,Weather,14,L0520
EXT-L0521,Weather,13,L0521
EXT-L0522,Weather,12,L0522
EXT-L0523,Normal,10,L0523
EXT-L0524,Weather,12,L0524
EXT-L0525,Weather,8,L0525
EXT-L0526,Weather,16,L0526
EXT-L0527,Normal,9,L0527
EXT-L0528,Weather,12,L0528
EXT-L0529,Weather,12,L0529
EXT-L0530,Weather,13,L0530
EXT-L0531,Weather,13,L0531
EXT-L0532,Weather,11,L0532
EXT-L0533,Weather,13,L0533
EXT-L0534,Weather,11,L0534
EXT-L0535,Normal,9,L0535
EXT-L0536,Normal,10,L0536
EXT-L0537,Normal,21,L0537
EXT-L0538,Normal,6,L0538
EXT-L0539,Normal,2,L0539
EXT-L0540,Weather,13,L0540
EXT-L0541,Normal,2,L0541
EXT-L0542,Normal,7,L0542
EXT-L0543,Weather,10,L0543
EXT-L0544,Weather,14,L0544
EXT-L0545,Weather,12,L0545
EXT-L0546,Normal,9,L0546
EXT-L0547,Weather,19,L0547
EXT-L0548,Normal,11,L0548
EXT-L0549,Weather,13,L0549
EXT-L0550,Normal,8,L0550
EXT-L0551,Weather,5,L0551
EXT-L0552,Normal,22,L0552
EXT-L0553,Weather,9,L0553
EXT-L0554,Weather,14,L0554
EXT-L0555,Weather,17,L0555
EXT-L0556,Normal,13,L0556
EXT-L0557,Normal,10,L0557
EXT-L0558,Normal,31,L0558
EXT-L0559,Weather,12,L0559
EXT-L0560,Weather,12,L0560
EXT-L0561,Weather,14,L0561
EXT-L0562,Weather,13,L0562
EXT-L0563,Weather,11,L0563
EXT-L0564,Weather,12,L0564
EXT-L0565,Normal,4,L0565
EXT-L0566,Weather,10,L0566
EXT-L0567,Normal,7,L0567
EXT-L0568,Weather,11,L0568
EXT-L0569,Weather,12,L0569
EXT-L0570,Normal,13,L0570
EXT-L0571,Weather,13,L0571
EXT-L0572,Weather,12,L0572
EXT-L0573,Normal,9,L0573
EXT-L0574,Weather,11,L0574
EXT-L0575,Normal,11,L0575
EXT-L0576,Normal,16,L0576
EXT-L0577,Weather,10,L0577
EXT-L0578,Weather,12,L0578
EXT-L0579,Weather,10,L0579
EXT-L0580,Weather,12,L0580
EXT-L0581,Weather,10,L0581
EXT-L0582,Weather,8,L0582
EXT-L0583,Weather,12,L0583
EXT-L0584,Normal,10,L0584
EXT-L0585,Weather,10,L0585
EXT-L0586,Normal,3,L0586
EXT-L0587,Weather,14,L0587
EXT-L0588,Weather,11,L0588
EXT-L0589,Weather,10,L0589
EXT-L0590,Normal,15,L0590
EXT-L0591,Normal,16,L0591
EXT-L0592,Weather,16,L0592
EXT-L0593,Weather,13,L0593
EXT-L0594,Normal,8,L0594
EXT-L0595,Weather,9,L0595
EXT-L0596,Normal,19,L0596
EXT-L0597,Weather,21,L0597
EXT-L0598,Normal,10,L0598
EXT-L0599,Weather,13,L0599
EXT-L0600,Weather,9,L0600
EXT-L0601,Weather,8,L0601
EXT-L0602,Normal,10,L0602
EXT-L0603,Weather,11,L0603
EXT-L0604,Weather,14,L0604
EXT-L0605,Weather,12,L0605
EXT-L0606,Weather,11,L0606
EXT-L0607,Weather,16,L0607
EXT-L0608,Weather,14,L0608
EXT-L0609,Weather,7,L0609
EXT-L0610,Weather,12,L0610
EXT-L0611,Weather,17,L0611
EXT-L0612,Weather,12,L0612
EXT-L0613,Normal,19,L0613
EXT-L0614,Normal,3,L0614
EXT-L0615,Normal,9,L0615
EXT-L0616,Weather,12,L0616
EXT-L0617,Normal,8,L0617
EXT-L0618,Normal,7,L0618
EXT-L0619,Weather,14,L0619
EXT-L0620,Weather,11,L0620
EXT-L0621,Weather,15,L0621
EXT-L0622,Normal,8,L0622
EXT-L0623,Normal,11,L0623
EXT-L0624,Normal,10,L0624
EXT-L0625,Weather,11,L0625
EXT-L0626,Weather,12,L0626
EXT-L0627,Weather,11,L0627
EXT-L0628,Normal,14,L0628
EXT-L0629,Weather,8,L0629
EXT-L0630,Weather,9,L0630
EXT-L0631,Weather,13,L0631
EXT-L0632,Weather,12,L0632
EXT-L0633,Weather,12,L0633
EXT-L0634,Weather,9,L0634
EXT-L0635,Normal,9,L0635
EXT-L0636,Normal,7,L0636
EXT-L0637,Normal,7,L0637
EXT-L0638,Weather,12,L0638
EXT-L0639,Normal,16,L0639
EXT-L0640,Weather,4,L0640
EXT-L0641,Normal,15,L0641
EXT-L0642,Weather,4,L0642
EXT-L0643,Normal,12,L0643
EXT-L0644,Weather,11,L0644
EXT-L0645,Weather,15,L0645
EXT-L0646,Weather,17,L0646
EXT-L0647,Weather,11,L0647
EXT-L0648,Weather,12,L0648
EXT-L0649,Normal,5,L0649
EXT-L0650,Normal,7,L0650
EXT-L0651,Weather,9,L0651
EXT-L0652,Weather,11,L0652
EXT-L0653,Weather,14,L0653
EXT-L0654,Weather,8,L0654
EXT-L0655,Weather,13,L0655
EXT-L0656,Weather,9,L0656
EXT-L0657,Weather,12,L0657
EXT-L0658,Weather,10,L0658
EXT-L0659,Weather,14,L0659
EXT-L0660,Weather,13,L0660
EXT-L0661,Weather,12,L0661
EXT-L0662,Normal,13,L0662
EXT-L0663,Weather,13,L0663
EXT-L0664,Weather,14,L0664
EXT-L0665,Weather,10,L0665
EXT-L0666,Weather,10,L0666
EXT-L0667,Weather,14,L0667
EXT-L0668,Normal,9,L0668
EXT-L0669,Weather,8,L0669
EXT-L0670,Normal,11,L0670
EXT-L0671,Normal,11,L0671
EXT-L0672,Normal,11,L0672
EXT-L0673,Normal,14,L0673
EXT-L0674,Weather,11,L0674
EXT-L0675,Normal,10,L0675
EXT-L0676,Normal,6,L0676
EXT-L0677,Weather,11,L0677
EXT-L0678,Normal,13,L0678
EXT-L0679,Normal,1,L0679
EXT-L0680,Normal,4,L0680
EXT-L0681,Normal,7,L0681
EXT-L0682,Weather,12,L0682
EXT-L0683,Normal,2,L0683
EXT-L0684,Weather,8,L0684
EXT-L0685,Weather,6,L0685
EXT-L0686,Weather,10,L0686
EXT-L0687,Weather,16,L0687
EXT-L0688,Weather,13,L0688
EXT-L0689,Normal,6,L0689
EXT-L0690,Weather,7,L0690
EXT-L0691,Weather,12,L0691
EXT-L0692,Weather,11,L0692
EXT-L0693,Weather,8,L0693
EXT-L0694,Weather,13,L0694
EXT-L0695,Weather,9,L0695
EXT-L0696,Weather,12,L0696
EXT-L0697,Normal,10,L0697
EXT-L0698,Weather,12,L0698
EXT-L0699,Weather,10,L0699
EXT-L0700,Weather,11,L0700
EXT-L0701,Weather,11,L0701
EXT-L0702,Normal,5,L0702
EXT-L0703,Normal,12,L0703
EXT-L0704,Weather,9,L0704
EXT-L0705,Normal,14,L0705
EXT-L0706,Weather,16,L0706
EXT-L0707,Weather,8,L0707
EXT-L0708,Weather,12,L0708
EXT-L0709,Weather,10,L0709
EXT-L0710,Normal,10,L0710
EXT-L0711,Weather,5,L0711
EXT-L0712,Normal,8,L0712
EXT-L0713,Weather,7,L0713
EXT-L0714,Normal,12,L0714
EXT-L0715,Normal,16,L0715
EXT-L0716,Weather,10,L0716
EXT-L0717,Weather,13,L0717
EXT-L0718,Normal,9,L0718
EXT-L0719,Weather,13,L0719
EXT-L0720,Weather,15,L0720
EXT-L0721,Weather,12,L0721
EXT-L0722,Weather,11,L0722
EXT-L0723,Weather,11,L0723
EXT-L0724,Weather,9,L0724
EXT-L0725,Normal,7,L0725
EXT-L0726,Weather,8,L0726
EXT-L0727,Normal,10,L0727
EXT-L0728,Weather,17,L0728
EXT-L0729,Normal,13,L0729
EXT-L0730,Normal,19,L0730
EXT-L0731,Normal,17,L0731
EXT-L0732,Weather,9,L0732
EXT-L0733,Weather,11,L0733
EXT-L0734,Weather,13,L0734
EXT-L0735,Weather,12,L0735
EXT-L0736,Weather,11,L0736
EXT-L0737,Weather,9,L0737
EXT-L0738,Weather,6,L0738
EXT-L0739,Normal,8,L0739
EXT-L0740,Normal,22,L0740
EXT-L0741,Normal,13,L0741
EXT-L0742,Weather,9,L0742
EXT-L0743,Normal,7,L0743
EXT-L0744,Weather,12,L0744
EXT-L0745,Normal,8,L0745
EXT-L0746,Weather,13,L0746
EXT-L0747,Normal,8,L0747
EXT-L0748,Weather,10,L0748
EXT-L0749,Weather,13,L0749
EXT-L0750,Weather,12,L0750
EXT-L0751,Weather,12,L0751
EXT-L0752,Normal,13,L0752
EXT-L0753,Weather,18,L0753
EXT-L0754,Normal,11,L0754
EXT-L0755,Weather,12,L0755
EXT-L0756,Weather,10,L0756
EXT-L0757,Weather,13,L0757
EXT-L0758,Weather,15,L0758
EXT-L0759,Weather,11,L0759
EXT-L0760,Weather,11,L0760
EXT-L0761,Weather,14,L0761
EXT-L0762,Weather,10,L0762
EXT-L0763,Weather,13,L0763
EXT-L0764,Normal,10,L0764
EXT-L0765,Weather,12,L0765
EXT-L0766,Weather,9,L0766
EXT-L0767,Weather,14,L0767
EXT-L0768,Normal,13,L0768
EXT-L0769,Weather,15,L0769
EXT-L0770,Weather,11,L0770
EXT-L0771,Weather,12,L0771
EXT-L0772,Normal,4,L0772
EXT-L0773,Normal,11,L0773
EXT-L0774,Normal,13,L0774
EXT-L0775,Weather,12,L0775
